제목,평점,참여명수,예매율,개요,감독,배우,상영 시간,개봉일
샹치와 텐 링즈의 전설,6.76,"5,125",17.41%,"액션,모험,판타지",데스틴 크리튼,"시무 리우,양조위,아콰피나",132분,2021.09.01
바쿠라우,7.89,19,7.15%,"미스터리,스릴러,서부","클레버 멘돈사 필로,줄리아노 도르넬레스","우도 키에르,소냐 브라가,토마스 아퀴노",131분,2021.09.02
최선의 삶,8.87,84,6.46%,드라마,이우정,"방민아,심달기,한성민",109분,2021.09.01
건파우더 밀크셰이크,6.30,108,6.02%,액션,나봇 파푸샤도,"카렌 길런,레나 헤디,안젤라 바셋,양자경,칼라 구기노,폴 지아마티",115분,2021.09.08
인질,7.36,"3,696",5.77%,"액션,스릴러",필감성,"황정민,김재범,이유미,류경수,정재원,이규원,이호정",94분,2021.08.18
쇼미더고스트,0.00,0,5.33%,"코미디,공포",김은경,"한승연,김현목,홍승범",83분,2021.09.09
코다,9.36,336,5.03%,드라마,션 헤이더,"에밀리아 존스,퍼디아 월시-필로,트로이 코처,다니엘 듀런트,말리 매트린,에우헤니오 데르베스,에이미 포사이스",111분,2021.08.31
맨 인 더 다크 2 ,8.14,383,3.8%,"범죄,공포,스릴러",로도 사야구에즈,"스티븐 랭,매들린 그레이스,브렌단 섹스톤",98분,2021.09.01
좋은 사람,7.00,1,3.4%,"서스펜스,미스터리",정욱,"김태훈,이효제,김현정,김종구,박채은",101분,2021.09.09
슈퍼문,0.00,0,2.42%,"애니메이션,모험,코미디",홍대영,"송유미,김정훈,이승준,정영수",74분,2021.09.09
모가디슈,8.33,"13,761",2.32%,"액션,드라마",류승완,"김윤석,조인성,허준호,구교환,김소진,정만식",121분,2021.07.28
습도 다소 높음,8.47,47,1.97%,"코미디,드라마",고봉수,"백승환,이희준,고주환,차유미,김충길",77분,2021.09.01
내가 날 부를 때,10.00,1,1.82%,드라마,인뤄신,"장쯔펑,샤오양,주원원,양정강,김요원",127분,2021.09.09
죽을 때까지,0.00,0,1.48%,스릴러,스콧 데일,"메간 폭스,이오인 맥큰,칼란 멀베이",90분,2021.09.09
싱크홀,6.78,"5,803",1.13%,드라마,김지훈,"차승원,김성균,이광수,김혜준",113분,2021.08.11
사랑에 관한 짧은 필름,8.67,147,1.08%,"드라마,멜로/로맨스",크쥐시토프 키에슬로프스키,"그라지나 자폴로스카,올라프 루바젠코",87분,2016.09.17
생각의 여름,8.28,43,1.04%,드라마,김종재,"김예은,곽민규,오규철,한해인,신기환",82분,2021.08.12
너의 이름은.,8.79,"32,748",1.04%,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네",106분,2021.09.09
살인에 관한 짧은 필름,8.15,65,0.84%,"드라마,범죄",크쥐시토프 키에슬로프스키,크지슈토프 글로비쉬,84분,2016.09.17
리스펙트,8.00,4,0.74%,드라마,리슬 타미,제니퍼 허드슨,145분,2021.09.08
