이름,별점,가격
이엠텍 지포스 RTX 3060 STORM X Dual OC D6 12GB,4.8,1006250
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,936880
MSI 지포스 RTX 3060 Ti 게이밍 X D6 8GB 트윈프로져8 LHR,4.9,1219000
이엠텍 지포스 RTX 3070 Ti BLACK EDITION D6X 8GB,4.9,1728950
이엠텍 지포스 RTX 3070 BLACK EDITION OC D6 8GB LHR,5.0,1300000
이엠텍 지포스 GTX 1660 SUPER STORM X Dual BASIC OC D6 6GB,4.8,837950
ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,4.7,1100000
MSI 지포스 RTX 3080 Ti 슈프림 X D6X 12GB 트라이프로져2S,4.6,2491000
이엠텍 지포스 RTX 3080 Ti BLACK EDITION D6X 12GB,4.6,2224250
ASUS PH 지포스 GT1030 O2G D5 2GB,4.7,143870
MSI 지포스 RTX 3080 슈프림 X D6X 10GB 트라이프로져2S LHR,4.7,1908000
MSI 지포스 RTX 3070 Ti 슈프림 X D6X 8GB 트라이프로져2S,4.3,1696000
갤럭시 GALAX 지포스 RTX 3060 EX WHITE OC V2 D6 12GB,4.6,975200
XFX 라데온 RX 6600 XT QICK 308 BLACK D6 8GB,5.0,843940
이엠텍 지포스 RTX 3060 Ti STORM X Dual OC D6 8GB,4.9,1187200
갤럭시 GALAX 지포스 GTX 1660 BLACK D D5 6GB,4.8,737830
PNY XLR8 지포스 RTX 3080 Ti UPRISING EPIC-X RGB D6X 12GB Triple 제이씨현,4.3,2202150
ASUS TUF Gaming 지포스 GTX 1650 O4G P D6 4GB,4.8,519990
MSI 지포스 GTX1050 Ti OC D5 4GB 스톰,4.7,374760
MSI 지포스 RTX 3090 슈프림 X D6X 24GB 트라이프로져2S,4.5,3755290
MSI 지포스 RTX 3070 게이밍 Z 트리오 D6 8GB 트라이프로져2 LHR,4.5,1367400
이엠텍 XENON 지포스 GT1030 D4 2GB,별점없음,131600
ZOTAC GAMING 지포스 GTX 1660 SUPER D6 6GB TWIN,4.7,867000
PALIT 지포스 RTX 3060 Dual D6 12GB,5.0,954000
XFX 라데온 RX 6600 XT MERC 308 BLACK D6 8GB,4.0,892400
ASUS TUF Gaming 지포스 RTX 3080 Ti O12G OC D6X 12GB,별점없음,2319990
ASUS TUF Gaming 지포스 RTX 3070 O8G OC D6 8GB,5.0,1761380
ZOTAC GAMING 지포스 RTX 3060 TWIN Edge OC D6 12GB LHR,4.1,954000
MSI 지포스 GTX 1650 벤투스 S OC V1 D5 4GB,4.2,455000
갤럭시 GALAX 지포스 GTX 1650 BLACK EX D6 4GB,4.8,487600
이엠텍 지포스 RTX 3080 BLACK EDITION OC D6X 10GB,4.8,4000000
SAPPHIRE 라데온 RX 6800 XT PULSE OC D6 16GB Tri-X,4.5,1840830
ASUS ROG STRIX 지포스 RTX 3080 Ti O12G GAMING OC D6X 12GB,4.0,2782000
갤럭시 GALAX 지포스 GT1030 D5 2GB,4.6,138730
갤럭시 GALAX 지포스 RTX 3060 V2 D6 12GB,5.0,954000
ASRock 라데온 RX 6800 XT Taichi X OC D6 16GB 에즈윈,5.0,1991200
ASUS KO 지포스 RTX 3060 Ti O8G GAMING OC D6 8GB,4.5,1180000
갤럭시 GALAX 지포스 RTX 3060 EX BLACK OC V2 D6 12GB,별점없음,960000
ASRock Phantom Gaming D 라데온 RX 6900 XT OC D6 16GB 에즈윈,5.0,1890090
ZOTAC GAMING 지포스 RTX 3080 Ti AMP Holo Black D6X 12GB,별점없음,2441200
