국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국🇺🇸,43750983,9858405,22087,706317,33186261,1.6,75.9,132177,331002651
인도🇮🇳,33678243,306598,8944,447225,32924420,1.3,97.8,24404,1380004385
브라질🇧🇷,21351972,417115,8318,594484,20340373,2.8,95.3,100452,212559417
영국🇬🇧,7664230,1342492,916,136168,6185570,1.8,80.7,112899,67886011
러시아🇷🇺,7420913,612409,2300,203900,6604604,2.7,89.0,50851,145934462
터키🇹🇷,7039500,479059,633,63166,6497275,0.9,92.3,83467,84339067
프랑스🇫🇷,6994319,154811,1609,116463,6723045,1.7,96.1,107154,65273511
이란🇮🇷,5533520,470073,6320,119360,4944087,2.2,89.3,65881,83992949
아르헨티나🇦🇷,5250402,23944,1237,114862,5111596,2.2,97.4,116170,45195774
콜롬비아🇨🇴,4951675,33815,542,126145,4791715,2.5,96.8,97315,50882891
스페인🇪🇸,4946601,152205,837,86229,4708167,1.7,95.2,105799,46754778
이탈리아🇮🇹,4660314,102244,483,130697,4427373,2.8,95.0,77079,60461826
인도네시아🇮🇩,4208013,42769,N/A,141467,4023777,3.4,95.6,15384,273523615
독일🇩🇪,4206257,154278,1435,93979,3958000,2.2,94.1,50204,83783942
멕시코🇲🇽,3628812,375213,4798,275299,2978300,7.6,82.1,28145,128932753
폴란드🇵🇱,2903234,166313,148,75572,2661349,2.6,91.7,76711,37846611
남아프리카 공화국🇿🇦,2896943,49798,546,87052,2760093,3.0,95.3,48845,59308690
필리핀🇵🇭,2490858,161447,3170,37405,2292006,1.5,92.0,22731,109581078
우크라이나🇺🇦,2392397,92579,177,55626,2244192,2.3,93.8,54704,43733762
말레이시아🇲🇾,2198235,183289,1050,25437,1989509,1.2,90.5,67918,32365999
페루🇵🇪,2172261,N/A,1043,199228,N/A,9.2,N/A,65882,32971854
네덜란드🇳🇱,1996498,N/A,181,18150,N/A,0.9,N/A,116517,17134872
이라크🇮🇶,1993767,75586,548,22110,1896071,1.1,95.1,49568,40222493
일본🇯🇵*,1695477,43552,1137,17499,1634426,1.0,96.4,13405,126476461
체코🇨🇿,1689364,6084,30,30453,1652827,1.8,97.8,157752,10708981
칠레🇨🇱,1651750,7349,391,37440,1606961,2.3,97.3,86406,19116201
캐나다🇨🇦,1602379,46479,638,27649,1528251,1.7,95.4,42456,37742154
태국🇹🇭,1561638,122463,3324,16268,1422907,1.0,91.1,22373,69799978
방글라데시🇧🇩,1551351,12458,1413,27414,1511479,1.8,97.4,9420,164689383
이스라엘🇮🇱,1266206,61873,689,7675,1196658,0.6,94.5,146289,8655535
파키스탄🇵🇰,1238668,50690,4199,27566,1160412,2.2,93.7,5608,220892340
벨기에🇧🇪,1233723,63499,216,25554,1144670,2.1,92.8,106451,11589623
루마니아🇷🇴,1194106,59611,1220,36341,1098154,3.0,92.0,62071,19237691
스웨덴🇸🇪,1149407,N/A,42,14781,N/A,1.3,N/A,113811,10099265
포르투갈🇵🇹,1066945,31535,83,17954,1017456,1.7,95.4,104636,10196709
모로코🇲🇦,929305,16166,598,14167,898972,1.5,96.7,25177,36910560
세르비아🇷🇸,911066,122128,217,8051,780887,0.9,85.7,104272,8737371
카자흐스탄🇰🇿,877112,55396,221,11035,810681,1.3,92.4,46713,18776707
쿠바🇨🇺,854167,34229,386,7227,812711,0.8,95.1,75412,11326616
스위스🇨🇭,833383,68138,209,11053,754192,1.3,90.5,96293,8654622
