Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
Global Total,6331617325,–,–,–,31641184
Mainland China,2212206000,79.0,82.5,74.8,2534143
India,905104783,33.1,47.7,17.6,7037158
EU,568385601,64.0,67.7,65.2,926748
U.S.,394690283,61.6,64.7,55.8,759656
Brazil,240050781,58.1,71.9,43.2,1367562
Japan,164859014,65.3,70.7,60.0,1205945
Indonesia,146098059,27.4,34.5,19.4,1655487
Turkey,110159938,66.2,64.9,53.8,355083
Germany,108011215,65.0,68.2,64.7,163975
Mexico,101782415,39.9,50.2,35.9,499982
France,94771408,73.1,77.6,74.8,164458
U.K.,93836747,70.2,73.2,67.3,63795
England,78670517,69.9,72.9,66.9,53829
London,11400311,63.6,65.7,59.8,30993
Scotland,8042724,73.6,76.9,70.3,6582
Wales,4600253,73.0,75.4,70.5,1842
Northern Ireland,2523253,66.6,69.4,63.9,1430
Russia,91114106,31.0,32.9,28.8,258997
Italy,85084767,70.5,75.0,74.8,179999
Pakistan,82830350,20.2,29.1,14.2,927581
Spain,70153507,75.5,81.1,78.9,62875
South Korea,66159950,64.0,76.6,51.4,773189
Canada,56401488,75.1,76.2,70.6,93881
Ontario,21847046,75.2,76.4,70.9,33263
Quebec,13116959,77.3,78.1,74.1,17372
British Columbia,7852885,77.3,78.9,72.2,13200
Alberta,6085230,69.9,70.3,62.9,19969
Manitoba,1984430,72.6,74.1,69.5,2379
Saskatchewan,1567255,66.9,67.5,60.7,3647
Nova Scotia,1512263,78.1,79.7,73.7,2499
New Brunswick,1179181,76.0,76.8,69.6,3284
Newfoundland and Labrador,819294,78.2,80.8,72.9,1781
Prince Edward Island,255062,81.4,83.2,76.3,517
Northwest Territories,69242,76.7,66.2,61.9,81
Yukon,66211,80.2,79.0,75.2,57
Nunavut,46430,60.3,63.0,55.3,104
Thailand,53784812,38.6,45.4,26.0,1227717
Argentina,52388830,58.3,66.2,49.7,250615
Iran,51950783,31.2,43.6,18.8,953168
Bangladesh,49559691,14.9,19.6,10.1,1512552
Philippines,45601096,21.3,25.2,22.6,383466
Malaysia,44145505,67.7,72.6,62.6,291301
Vietnam,42888157,22.2,34.3,10.2,814226
Saudi Arabia,42265528,62.0,68.7,55.1,111002
Morocco,41099861,57.7,62.7,52.8,348703
Colombia,40404815,40.1,52.3,33.6,195879
Poland,37317759,49.1,52.3,51.3,24708
Chile,32322960,84.6,80.7,74.1,139633
Australia,28419347,55.7,66.0,45.3,282537
Peru,27169941,41.0,47.6,32.4,300821
Sri Lanka,26376809,60.5,66.6,54.0,80474
Cambodia,24332508,73.8,81.3,67.2,113444
Netherlands,23585124,68.4,74.4,66.9,21347
Cuba,21004660,92.7,82.3,44.8,179004
Ecuador,20841350,60.3,65.5,57.4,48297
UAE,20164365,93.8,86.8,77.0,45305
Uzbekistan,19969345,30.0,29.4,12.9,288481
Ukraine,18235447,21.8,30.2,13.7,147823
South Africa,17815485,16.9,21.4,15.0,142942
Belgium,16741666,73.1,75.0,73.5,26569
Taiwan,16277198,34.5,56.9,12.1,304963
Egypt,16223309,8.2,10.6,5.7,505491
Portugal,15956183,77.6,86.9,84.3,8159
Venezuela,15714857,28.2,35.0,21.5,416214
Israel,15237862,84.2,67.7,62.4,50492
Kazakhstan,14319567,38.4,41.1,35.4,66652
Algeria,14082920,16.2,13.9,9.3,292376
Nepal,13959515,24.5,26.2,22.1,233368
Sweden,13785496,66.7,69.3,63.9,27151
Greece,12180365,56.8,60.2,57.3,19877
Hungary,12111107,62.0,60.3,57.8,19263
Dominican Republic,11946808,57.7,58.6,55.5,23426
Czech Republic,11826488,55.5,57.2,56.0,7527
Myanmar,10935671,10.3,13.6,7.1,241757
Austria,10862691,61.3,64.9,61.3,11608
Switzerland,10441625,61.1,64.7,58.9,25903
Liechtenstein,46861,–,–,–,54
Romania,10345107,26.7,29.0,27.7,43157
Singapore,9403389,82.4,82.3,79.4,25738
Denmark,8823891,76.0,76.7,75.3,3958
Hong Kong,8714963,57.9,59.9,56.0,23511
Azerbaijan,8623360,43.2,47.9,38.5,56519
Tunisia,8122053,34.5,43.2,32.8,105341
Norway,7819299,73.0,77.7,68.2,15457
Finland,7612184,69.0,75.0,63.0,21677
Iraq,7608508,9.7,12.0,7.5,26701
El Salvador,7584818,58.8,63.6,52.9,46965
Ireland,7225789,73.0,76.2,74.4,6954
Guatemala,7057840,20.0,25.7,13.9,78017
Jordan,7019525,34.9,36.9,32.7,16512
Bolivia,6821390,29.5,36.8,28.2,26346
Nigeria,6734764,1.7,2.4,1.0,53744
Serbia,6497670,46.7,43.7,41.7,14957
Oman,6374064,76.0,90.1,61.9,832107
Uruguay,6280533,89.2,77.7,73.1,17000
Costa Rica,5596495,55.1,67.1,43.1,75721
Honduras,5556951,28.4,34.1,22.8,51554
Zimbabwe,5387135,18.1,20.8,15.4,27110
Panama,5367816,63.6,69.7,57.5,16408
New Zealand,5221014,53.0,66.9,39.1,37529
Slovakia,4788867,43.9,44.9,41.3,5335
Qatar,4722279,84.5,84.4,79.4,4604
Mongolia,4662652,70.7,68.3,64.6,13034
Paraguay,4640590,32.4,38.7,26.2,23267
Laos,4402770,30.7,41.1,26.7,9906
Tajikistan,4139385,22.3,25.8,18.7,24269
Kenya,3860780,4.1,6.1,1.9,37228
Rwanda,3779887,15.2,17.1,13.4,42511
Ethiopia,3715801,1.9,3.0,0.9,31762
Mozambique,3644423,5.8,6.1,5.6,54234
Croatia,3436799,42.2,44.8,42.0,4684
Belarus,3389520,17.9,19.8,16.0,26145
Lithuania,3232302,58.1,62.9,58.2,3883
Angola,3134137,5.2,7.1,3.3,44858
Afghanistan,3133227,4.2,2.1,1.2,765279
Lebanon,3038896,22.2,24.2,20.1,12103
Bahrain,2594634,87.4,78.5,75.5,6477
Bulgaria,2548995,18.3,17.5,19.2,5992
Kuwait,2380000,25.1,56.2,19.4,12990
Ivory Coast,2200971,4.2,5.6,1.4,42558
Slovenia,2136684,52.7,54.6,48.7,4910
Uganda,2058553,2.6,4.1,1.0,90201
Senegal,1812874,5.6,7.7,3.5,3505
Georgia,1774769,23.8,26.3,21.4,13439
Guinea,1772935,6.5,8.9,4.1,24265
Albania,1741373,30.3,33.0,27.7,7539
Sudan,1704840,2.0,1.5,1.3,25447
Mauritius,1655555,65.3,67.6,63.1,2700
Ghana,1653422,2.7,2.9,2.5,2050
Latvia,1650915,43.0,48.4,44.7,6336
Libya,1586055,12.1,21.0,3.1,17199
North Macedonia,1518087,36.5,37.9,35.1,4473
Kyrgyzstan,1466222,11.5,13.1,9.8,9605
Moldova,1406287,26.2,23.0,29.4,3388
Estonia,1372802,51.8,57.4,46.3,2623
Kosovo,1343656,37.3,44.6,30.1,14530
Bosnia and Herzegovina,1242203,18.8,22.2,15.4,7916
Cyprus,1161031,66.3,67.9,63.3,3657
Mauritania,1118158,13.8,7.9,14.0,82424
Malawi,1087426,2.7,4.0,2.5,6568
Bhutan,1081086,72.6,78.5,66.6,2112
Trinidad and Tobago,1080244,38.7,41.5,36.0,5487
Fiji,1033997,57.8,68.0,47.6,8390
Togo,997632,6.2,7.4,5.0,23544
Malta,826504,83.7,85.2,85.2,1481
Nicaragua,788502,6.0,7.7,4.4,2155
Luxembourg,786645,64.1,68.1,65.1,688
Jamaica,755782,13.9,19.4,9.3,11102
Zambia,740374,2.0,1.8,2.3,7410
Maldives,731796,98.4,105.5,91.3,783
Timor-Leste,711879,27.5,34.1,20.9,5998
Macau,676994,49.8,54.0,45.9,2781
Botswana,629604,13.2,17.2,9.9,2863
Iceland,554603,77.7,78.9,77.5,499
Guyana,543180,34.6,45.5,23.7,1792
Syria,533949,–,–,–,23498
Niger,512294,1.1,1.7,0.5,642
Brunei,493587,53.7,64.6,42.7,8158
Somalia,477075,1.6,1.7,1.5,6941
Cameroon,461201,0.9,1.5,0.3,451
Montenegro,461140,37.0,39.3,34.2,2048
Namibia,428989,8.7,10.6,6.8,2686
Madagascar,417648,0.8,0.7,0.7,5145
Cape Verde,414300,37.7,51.7,23.7,3056
Armenia,408535,6.9,8.9,4.8,5965
Mali,405053,1.1,1.7,1.2,1800
Suriname,403454,33.8,38.5,29.0,1825
Equatorial Guinea,397083,14.6,16.5,12.3,3283
Tanzania,389807,0.3,–,–,5687
Yemen,356173,0.6,1.0,0.2,2077
Republic of the Congo,346613,3.8,5.0,2.5,2089
Comoros,336863,19.3,20.0,18.5,249
Lesotho,332954,8.1,12.2,11.7,6246
Belize,321277,39.4,47.6,31.3,3276
Liberia,284246,3.1,2.3,0.6,8900
Burkina Faso,254545,0.6,1.2,0.8,8839
Benin,247674,1.0,1.9,0.2,4307
Barbados,241915,42.1,47.4,36.9,1581
Eswatini,240002,10.8,18.7,18.1,113
Sierra Leone,232375,1.5,2.4,0.5,805
Bahamas,207784,27.3,32.6,23.2,3332
Gambia,207195,4.4,7.8,7.3,357
Central African Republic,207004,2.2,4.2,0.2,3604
Papua New Guinea,191925,1.1,1.6,0.5,3017
Curaçao,187283,57.4,60.1,54.8,147
Gabon,180320,4.3,4.9,3.8,732
Samoa,172316,42.9,57.1,28.7,3269
Aruba,156355,69.8,72.7,66.9,122
Jersey,153196,–,–,–,932
Seychelles,148402,77.3,80.5,74.1,154
Chad,142548,0.4,0.7,0.2,2785
DR Congo,134945,0.1,0.1,0.1,21
Isle of Man,129395,76.1,77.0,75.2,13
Cayman Islands,110400,84.9,84.9,84.9,638
Solomon Islands,106074,8.3,12.8,3.6,641
South Sudan,103751,0.4,0.6,0.2,783
Greenland,102357,89.8,124.5,64.9,300
Guernsey,101986,–,–,–,45
Andorra,95918,62.3,68.7,55.9,113
Guinea-Bissau,94715,2.7,4.9,0.4,3807
Antigua and Barbuda,93318,48.1,52.7,43.5,1382
Djibouti,92097,4.3,6.1,2.4,3109
Bermuda,87215,69.2,70.1,68.3,77
Sao Tome and Principe,82679,19.4,28.4,10.4,2364
Gibraltar,79587,117.0,117.5,116.6,22
St. Lucia,78510,21.8,25.5,18.1,759
Faroe Islands,74618,76.1,78.1,74.1,126
Tonga,74503,37.3,47.0,27.5,100
Micronesia,72860,35.0,42.6,–,169
Haiti,64799,0.3,0.4,0.2,814
Grenada,55663,25.5,30.4,20.7,579
Turks & Caicos,52374,68.9,72.2,65.6,77
Monaco,49980,64.1,68.4,59.8,120
Sint Maarten,49310,58.7,61.2,56.2,22
Saint Kitts and Nevis,48059,42.2,45.0,39.3,128
San Marino,47100,69.3,71.9,71.9,5
Dominica,46694,32.9,35.4,30.4,296
Turkmenistan,41993,0.4,0.6,0.2,–
St. Vincent and the Grenadines,34149,15.5,18.8,12.3,132
Anguilla,18704,62.3,63.7,61.0,17
Nauru,14863,57.2,58.6,55.8,4
St. Helena,7892,65.8,72.7,58.9,8
Falkland Islands,4407,73.5,87.7,59.2,202
Montserrat,2871,28.7,29.7,27.8,2
Eritrea,–,–,–,–,–
