국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국🇺🇸,44315162,9876615,20399,716849,33721698,1.6,76.1,134269,331002651
인도🇮🇳,33768516,276976,8944,448396,33043144,1.3,97.9,24486,1380004385
브라질🇧🇷,21427073,405134,8318,596800,20425139,2.8,95.3,100893,212559417
영국🇬🇧,7807036,1346478,813,136662,6323896,1.8,81.0,115512,67886011
러시아🇷🇺,7535548,634684,2300,208142,6692722,2.8,88.8,51809,145934462
터키🇹🇷,7154070,474108,633,64054,6615908,0.9,92.5,85167,84339067
프랑스🇫🇷,7013432,125641,1609,116713,6771078,1.7,96.5,107522,65273511
이란🇮🇷,5601565,427351,5841,120663,5053551,2.2,90.2,66812,83992949
아르헨티나🇦🇷,5256902,23399,1140,115179,5118324,2.2,97.4,116349,45195774
스페인🇪🇸,4959091,116938,703,86415,4755738,1.7,95.9,106110,46754778
콜롬비아🇨🇴,4957277,31402,542,126299,4799576,2.5,96.8,97462,50882891
이탈리아🇮🇹,4672355,94308,440,130921,4447126,2.8,95.2,77334,60461826
독일🇩🇪,4243203,138853,1435,94250,4010100,2.2,94.5,50738,83783942
인도네시아🇮🇩,4216728,34867,N/A,142026,4039835,3.4,95.8,15421,273523615
멕시코🇲🇽,3664223,373518,4798,277505,3013200,7.6,82.2,28477,128932753
폴란드🇵🇱,2908432,169679,172,75666,2663087,2.6,91.6,76883,37846611
남아프리카 공화국🇿🇦,2902672,41702,546,87626,2773344,3.0,95.5,48969,59308690
필리핀🇵🇭,2565487,130268,3170,38493,2396726,1.5,93.4,23546,109581078
우크라이나🇺🇦,2435413,120512,177,56446,2258455,2.3,92.7,55957,43733762
말레이시아🇲🇾,2245695,164536,924,26335,2054824,1.2,91.5,69752,32365999
페루🇵🇪,2176321,N/A,1010,199395,N/A,9.2,N/A,66035,32971854
이라크🇮🇶,2005991,68386,464,22302,1915303,1.1,95.5,49872,40222493
네덜란드🇳🇱,2004763,N/A,149,18176,N/A,0.9,N/A,116999,17134872
일본🇯🇵*,1703350,28685,782,17700,1656965,1.0,97.3,13478,126476461
체코🇨🇿,1692412,7515,35,30475,1654422,1.8,97.8,158113,10708981
칠레🇨🇱,1654264,7284,378,37468,1609512,2.3,97.3,86579,19116201
캐나다🇨🇦,1623243,44451,776,27853,1550939,1.7,95.5,43165,37742154
태국🇹🇭,1615229,115233,3324,16850,1483146,1.0,91.8,23304,69799978
방글라데시🇧🇩,1556758,12326,1390,27531,1516901,1.8,97.4,9453,164689383
이스라엘🇮🇱,1285570,45412,586,7766,1232392,0.6,95.9,148526,8655535
파키스탄🇵🇰,1246538,48163,3649,27785,1170590,2.2,93.9,5651,220892340
