일자|시간|구분,공급량
2019-01-01 01 A,1942.6490905761718
2019-01-01 02 A,1706.2215063476563
2019-01-01 03 A,1617.6784240722657
2019-01-01 04 A,1586.4991088867187
2019-01-01 05 A,1846.6952575683595
2019-01-01 06 A,1981.700242919922
2019-01-01 07 A,2257.7905200195314
2019-01-01 08 A,2864.914890136719
2019-01-01 09 A,2888.658779296875
2019-01-01 10 A,2719.016591796875
2019-01-01 11 A,2649.599296875
2019-01-01 12 A,2649.351354980469
2019-01-01 13 A,2263.7389196777344
2019-01-01 14 A,2177.908494873047
2019-01-01 15 A,2070.4151159667967
2019-01-01 16 A,2149.655428466797
2019-01-01 17 A,2174.002307128906
2019-01-01 18 A,2237.0933947753906
2019-01-01 19 A,2451.5775048828127
2019-01-01 20 A,2482.6346838378904
2019-01-01 21 A,2536.343659667969
2019-01-01 22 A,2388.4146875
2019-01-01 23 A,2245.9801794433592
2019-01-01 24 A,2271.749385986328
2019-01-02 01 A,2172.7472399902344
2019-01-02 02 A,1700.476220703125
2019-01-02 03 A,1614.5905041503906
2019-01-02 04 A,1782.9872216796875
2019-01-02 05 A,1941.2440551757813
2019-01-02 06 A,1963.8852001953126
2019-01-02 07 A,2302.3841809082032
2019-01-02 08 A,2930.08005859375
2019-01-02 09 A,2916.115046386719
2019-01-02 10 A,2659.611513671875
2019-01-02 11 A,2685.711815185547
2019-01-02 12 A,2658.6196899414062
2019-01-02 13 A,2212.4567834472655
2019-01-02 14 A,2242.5073901367186
2019-01-02 15 A,2062.327625732422
2019-01-02 16 A,2033.6755859375
2019-01-02 17 A,2012.2420825195313
2019-01-02 18 A,2188.1646948242187
2019-01-02 19 A,2615.4428369140624
2019-01-02 20 A,2758.8599853515625
2019-01-02 21 A,2660.80279296875
2019-01-02 22 A,2450.334913330078
2019-01-02 23 A,2508.340606689453
2019-01-02 24 A,2269.7182690429686
2019-01-03 01 A,2019.7532678222656
2019-01-03 02 A,1761.1638488769531
2019-01-03 03 A,1635.8583459472657
2019-01-03 04 A,1600.9915551757813
2019-01-03 05 A,1752.1918908691407
2019-01-03 06 A,1817.4487561035157
2019-01-03 07 A,2269.3398205566405
2019-01-03 08 A,2783.611159667969
2019-01-03 09 A,2906.090009765625
2019-01-03 10 A,2765.5869067382814
2019-01-03 11 A,2629.0815747070315
2019-01-03 12 A,2603.418846435547
2019-01-03 13 A,2181.3061535644533
2019-01-03 14 A,2075.0307556152343
2019-01-03 15 A,1910.1902978515625
2019-01-03 16 A,1887.81375
2019-01-03 17 A,1972.7947875976563
2019-01-03 18 A,2254.0140100097656
2019-01-03 19 A,2819.6862744140626
2019-01-03 20 A,2857.7283935546875
2019-01-03 21 A,2785.553017578125
2019-01-03 22 A,2630.311895751953
2019-01-03 23 A,2369.1696337890626
2019-01-03 24 A,2354.5222705078127
2019-01-04 01 A,1943.3304406738282
2019-01-04 02 A,1688.1642126464844
2019-01-04 03 A,1506.5538549804687
2019-01-04 04 A,1545.0359545898436
2019-01-04 05 A,1760.4361486816406
2019-01-04 06 A,1904.9212780761718
2019-01-04 07 A,2262.6727868652342
2019-01-04 08 A,2402.4069897460936
2019-01-04 09 A,2786.5442163085936
2019-01-04 10 A,2622.76416015625
2019-01-04 11 A,2586.741140136719
2019-01-04 12 A,2544.6094299316405
2019-01-04 13 A,2182.124645996094
2019-01-04 14 A,2045.0215307617189
2019-01-04 15 A,1872.989404296875
2019-01-04 16 A,1857.601494140625
2019-01-04 17 A,1926.9284606933593
2019-01-04 18 A,2101.3035278320312
2019-01-04 19 A,2389.020625
2019-01-04 20 A,2519.7945922851563
2019-01-04 21 A,2608.9764306640627
2019-01-04 22 A,2450.475711669922
2019-01-04 23 A,2309.794504394531
2019-01-04 24 A,2218.926614990234
2019-01-05 01 A,2032.1598950195312
2019-01-05 02 A,1748.5343103027344
2019-01-05 03 A,1584.364169921875
2019-01-05 04 A,1518.0257580566406
2019-01-05 05 A,1761.419990234375
2019-01-05 06 A,1848.0453308105468
2019-01-05 07 A,2000.9536010742188
2019-01-05 08 A,2302.4104321289065
2019-01-05 09 A,2416.9494946289065
2019-01-05 10 A,2519.302355957031
2019-01-05 11 A,2639.9016271972655
2019-01-05 12 A,2488.1601379394533
2019-01-05 13 A,2082.4164318847656
2019-01-05 14 A,1963.0072973632812
2019-01-05 15 A,1775.891026611328
2019-01-05 16 A,1746.0660913085937
2019-01-05 17 A,1899.3013403320313
2019-01-05 18 A,2037.7426794433593
2019-01-05 19 A,2315.9123278808593
2019-01-05 20 A,2468.564621582031
2019-01-05 21 A,2411.6020385742186
2019-01-05 22 A,2155.1188317871092
2019-01-05 23 A,2018.3772680664063
2019-01-05 24 A,2046.75263671875
2019-01-06 01 A,1989.9343579101562
2019-01-06 02 A,1696.9036108398439
2019-01-06 03 A,1510.12234375
2019-01-06 04 A,1521.3416528320313
2019-01-06 05 A,1804.9057177734376
2019-01-06 06 A,1756.4531042480469
2019-01-06 07 A,1853.2523205566406
2019-01-06 08 A,2194.110908203125
2019-01-06 09 A,2291.9109936523437
2019-01-06 10 A,2430.5985363769532
2019-01-06 11 A,2552.4502770996096
2019-01-06 12 A,2267.110006103516
2019-01-06 13 A,2068.4909729003907
2019-01-06 14 A,1920.1293725585938
2019-01-06 15 A,1744.640048828125
2019-01-06 16 A,1731.2756298828126
2019-01-06 17 A,1865.5330236816405
2019-01-06 18 A,2084.05974609375
2019-01-06 19 A,2486.114934082031
2019-01-06 20 A,2494.9375939941406
2019-01-06 21 A,2411.136846923828
2019-01-06 22 A,2254.107694091797
2019-01-06 23 A,2199.933233642578
2019-01-06 24 A,2036.1602966308594
2019-01-07 01 A,1845.2116235351561
2019-01-07 02 A,1732.8979284667969
2019-01-07 03 A,1588.6633959960936
2019-01-07 04 A,1602.9371069335937
2019-01-07 05 A,1798.8442700195312
2019-01-07 06 A,1828.3702111816406
2019-01-07 07 A,2165.0303759765625
2019-01-07 08 A,2952.808913574219
2019-01-07 09 A,2996.9578173828127
2019-01-07 10 A,2650.0287463378904
2019-01-07 11 A,2644.6178540039064
2019-01-07 12 A,2578.815051269531
2019-01-07 13 A,2204.7408044433596
2019-01-07 14 A,2140.0335717773437
2019-01-07 15 A,1906.6586364746095
2019-01-07 16 A,1981.1568078613282
2019-01-07 17 A,1976.7697314453126
2019-01-07 18 A,1956.8319140625
2019-01-07 19 A,2353.7603344726563
2019-01-07 20 A,2339.0548376464844
2019-01-07 21 A,2649.13203125
2019-01-07 22 A,2585.539284667969
2019-01-07 23 A,2429.0303515625
2019-01-07 24 A,2189.2515893554687
2019-01-08 01 A,1913.2641345214843
2019-01-08 02 A,1668.7010290527344
2019-01-08 03 A,1547.547305908203
2019-01-08 04 A,1565.7937072753907
2019-01-08 05 A,1728.605458984375
2019-01-08 06 A,1847.2645031738282
2019-01-08 07 A,1971.5243383789064
2019-01-08 08 A,2880.916142578125
2019-01-08 09 A,2868.6350219726564
