iter	Passed	Remaining
0	9	1822
1	17	1734
2	25	1699
3	34	1666
4	42	1654
5	50	1637
6	59	1632
7	66	1607
8	74	1589
9	83	1577
10	90	1562
11	98	1543
12	106	1533
13	114	1517
14	121	1501
15	129	1486
16	136	1472
17	144	1459
18	151	1444
19	159	1434
20	166	1423
21	174	1414
22	182	1402
23	189	1391
24	197	1379
25	204	1369
26	211	1357
27	219	1348
28	227	1340
29	234	1328
30	242	1320
31	249	1311
32	257	1304
33	265	1294
34	272	1286
35	280	1276
36	287	1266
37	294	1256
38	301	1246
39	309	1237
40	312	1212
41	320	1204
42	327	1196
43	335	1187
44	339	1169
45	346	1161
46	349	1138
47	356	1130
48	360	1110
49	367	1102
50	370	1083
51	375	1069
52	379	1051
53	386	1045
54	391	1033
55	399	1027
56	407	1021
57	410	1005
58	415	993
59	423	988
60	430	981
61	433	965
62	442	961
63	451	959
64	460	955
65	463	940
66	465	924
67	473	919
68	481	913
69	488	907
70	496	901
71	499	887
72	506	881
73	509	868
74	512	854
75	515	841
76	523	836
77	530	830
78	534	818
79	537	806
80	544	800
81	552	795
82	560	789
83	563	777
84	570	772
85	574	762
86	583	757
87	587	747
88	594	741
89	598	731
90	602	721
91	609	715
92	617	710
93	622	701
94	625	691
95	634	687
96	639	679
97	644	670
98	652	665
99	659	659
100	667	654
101	675	648
102	679	639
103	686	634
104	694	628
105	701	622
106	709	616
107	717	610
108	722	603
109	727	595
110	732	587
111	736	578
112	740	570
113	747	564
114	755	558
115	760	550
116	767	544
117	773	537
118	775	528
119	778	519
120	782	510
121	789	504
122	792	496
123	795	487
124	798	479
125	801	470
126	804	462
127	806	453
128	809	445
129	812	437
130	819	431
131	822	423
132	826	416
133	831	409
134	834	401
135	841	396
136	849	390
137	853	383
138	856	375
139	859	368
140	862	360
141	866	353
142	873	348
143	878	341
144	883	335
145	886	327
146	894	322
147	897	315
148	904	309
149	910	303
150	914	296
151	921	291
152	929	285
153	933	278
154	936	271
155	943	266
156	946	259
157	949	252
158	957	246
159	965	241
160	972	235
161	979	229
162	985	223
163	993	218
164	1000	212
165	1007	206
166	1015	200
167	1023	194
168	1031	189
169	1038	183
170	1046	177
171	1051	171
172	1059	165
173	1067	159
174	1075	153
175	1083	147
176	1091	141
177	1099	135
178	1107	129
179	1115	123
180	1123	117
181	1131	111
182	1138	105
183	1145	99
184	1152	93
185	1160	87
186	1165	81
187	1173	74
188	1180	68
189	1188	62
190	1195	56
191	1202	50
192	1210	43
193	1217	37
194	1221	31
195	1229	25
196	1236	18
197	1244	12
198	1251	6
199	1258	0
