일자|시간|구분,공급량
2019-01-01 01 A,1957.9598445175056
2019-01-01 02 A,1720.0726666508294
2019-01-01 03 A,1595.9367561270192
2019-01-01 04 A,1626.4645051155308
2019-01-01 05 A,1825.0736591708096
2019-01-01 06 A,1975.654520300235
2019-01-01 07 A,2287.8423519144358
2019-01-01 08 A,2736.4433555771466
2019-01-01 09 A,2894.403430612817
2019-01-01 10 A,2800.7671514255194
2019-01-01 11 A,2672.5521615832595
2019-01-01 12 A,2562.709117925404
2019-01-01 13 A,2396.1336962788223
2019-01-01 14 A,2216.152423601703
2019-01-01 15 A,2084.0103481384376
2019-01-01 16 A,2019.3401390512413
2019-01-01 17 A,2057.8895185211195
2019-01-01 18 A,2344.4574767235185
2019-01-01 19 A,2564.161934287191
2019-01-01 20 A,2646.1621420729293
2019-01-01 21 A,2565.258942539178
2019-01-01 22 A,2382.51716836738
2019-01-01 23 A,2395.898847720281
2019-01-01 24 A,2352.8046661587764
2019-01-02 01 A,1949.9234054668093
2019-01-02 02 A,1750.9344166242306
2019-01-02 03 A,1640.4114359827524
2019-01-02 04 A,1640.95503513451
2019-01-02 05 A,1856.750059068684
2019-01-02 06 A,2008.7210138243013
2019-01-02 07 A,2305.3120083734166
2019-01-02 08 A,2718.2508073929584
2019-01-02 09 A,2916.9665398297147
2019-01-02 10 A,2746.2376485928908
2019-01-02 11 A,2677.9977362057098
2019-01-02 12 A,2490.3736203928484
2019-01-02 13 A,2330.4848294406656
2019-01-02 14 A,2156.665711845599
2019-01-02 15 A,2037.109998979252
2019-01-02 16 A,1914.2934336446087
2019-01-02 17 A,1970.465370503489
2019-01-02 18 A,2236.150281258097
2019-01-02 19 A,2584.6619254260427
2019-01-02 20 A,2699.707273173402
2019-01-02 21 A,2690.871437924484
2019-01-02 22 A,2440.7786937912506
2019-01-02 23 A,2448.4407305540844
2019-01-02 24 A,2277.2685352093813
2019-01-03 01 A,2079.0603268286022
2019-01-03 02 A,1758.0671900818345
2019-01-03 03 A,1642.069533007999
2019-01-03 04 A,1596.0866246948565
2019-01-03 05 A,1795.429233042581
2019-01-03 06 A,1943.6288473180389
2019-01-03 07 A,2234.88569526012
2019-01-03 08 A,2720.367184900405
2019-01-03 09 A,2929.162411529369
2019-01-03 10 A,2726.5276826494182
2019-01-03 11 A,2702.0032106838225
2019-01-03 12 A,2441.686369599985
2019-01-03 13 A,2267.039611019877
2019-01-03 14 A,2034.4511224823425
2019-01-03 15 A,1923.1147338165135
2019-01-03 16 A,1863.084905983823
2019-01-03 17 A,1973.5872320225103
2019-01-03 18 A,2273.4673760905957
2019-01-03 19 A,2669.6240755886456
2019-01-03 20 A,2744.084952084728
2019-01-03 21 A,2631.5218690460324
2019-01-03 22 A,2519.203716899248
2019-01-03 23 A,2383.4704970149887
