일자|시간|구분,공급량
2019-01-01 01 A,971.7678192408505
2019-01-01 02 A,985.0043588417159
2019-01-01 03 A,998.2408984425812
2019-01-01 04 A,1011.4774380434465
2019-01-01 05 A,1024.7139776443119
2019-01-01 06 A,1037.950517245177
2019-01-01 07 A,1051.1870568460424
2019-01-01 08 A,1064.4235964469078
2019-01-01 09 A,1077.660136047773
2019-01-01 10 A,1090.8966756486384
2019-01-01 11 A,1104.1332152495038
2019-01-01 12 A,1117.369754850369
2019-01-01 13 A,1130.6062944512344
2019-01-01 14 A,1143.8428340520998
2019-01-01 15 A,1157.079373652965
2019-01-01 16 A,1170.3159132538303
2019-01-01 17 A,1183.5524528546957
2019-01-01 18 A,1196.788992455561
2019-01-01 19 A,1210.0255320564263
2019-01-01 20 A,1223.2620716572915
2019-01-01 21 A,1236.4986112581569
2019-01-01 22 A,1249.7351508590223
2019-01-01 23 A,1262.9716904598874
2019-01-01 24 A,1276.2082300607528
2019-01-02 01 A,952.7869974868772
2019-01-02 02 A,966.0235370877425
2019-01-02 03 A,979.2600766886078
2019-01-02 04 A,992.4966162894731
2019-01-02 05 A,1005.7331558903385
2019-01-02 06 A,1018.9696954912038
2019-01-02 07 A,1032.2062350920692
2019-01-02 08 A,1045.4427746929343
2019-01-02 09 A,1058.6793142937997
2019-01-02 10 A,1071.9158538946651
2019-01-02 11 A,1085.1523934955303
2019-01-02 12 A,1098.3889330963957
2019-01-02 13 A,1111.625472697261
2019-01-02 14 A,1124.8620122981263
2019-01-02 15 A,1138.0985518989917
2019-01-02 16 A,1151.335091499857
2019-01-02 17 A,1164.5716311007222
2019-01-02 18 A,1177.8081707015876
2019-01-02 19 A,1191.044710302453
2019-01-02 20 A,1204.2812499033182
2019-01-02 21 A,1217.5177895041836
2019-01-02 22 A,1230.754329105049
2019-01-02 23 A,1243.9908687059142
2019-01-02 24 A,1257.2274083067796
2019-01-03 01 A,933.8061757329039
2019-01-03 02 A,947.0427153337691
2019-01-03 03 A,960.2792549346345
2019-01-03 04 A,973.5157945354998
2019-01-03 05 A,986.7523341363651
2019-01-03 06 A,999.9888737372304
2019-01-03 07 A,1013.2254133380958
2019-01-03 08 A,1026.461952938961
2019-01-03 09 A,1039.6984925398265
2019-01-03 10 A,1052.9350321406916
2019-01-03 11 A,1066.171571741557
2019-01-03 12 A,1079.4081113424224
2019-01-03 13 A,1092.6446509432876
2019-01-03 14 A,1105.881190544153
2019-01-03 15 A,1119.1177301450184
2019-01-03 16 A,1132.3542697458836
2019-01-03 17 A,1145.590809346749
2019-01-03 18 A,1158.8273489476142
2019-01-03 19 A,1172.0638885484796
2019-01-03 20 A,1185.300428149345
2019-01-03 21 A,1198.5369677502104
2019-01-03 22 A,1211.7735073510755
2019-01-03 23 A,1225.010046951941
2019-01-03 24 A,1238.246586552806
2019-01-04 01 A,914.8253539789305
2019-01-04 02 A,928.0618935797959
2019-01-04 03 A,941.2984331806612
2019-01-04 04 A,954.5349727815264
2019-01-04 05 A,967.7715123823917
