일자|시간|구분,공급량
2019-01-01 01 A,1838.5304911877279
2019-01-01 02 A,1986.6477577361845
2019-01-01 03 A,1915.007753134436
2019-01-01 04 A,1838.5304911877279
2019-01-01 05 A,1649.6534329678886
2019-01-01 06 A,1823.1199910967252
2019-01-01 07 A,1849.0115115938504
2019-01-01 08 A,2622.213351957148
2019-01-01 09 A,2568.93767753605
2019-01-01 10 A,2568.93767753605
2019-01-01 11 A,2623.461579539715
2019-01-01 12 A,2623.461579539715
2019-01-01 13 A,2622.213351957148
2019-01-01 14 A,2585.5484249734573
2019-01-01 15 A,2568.93767753605
2019-01-01 16 A,2376.7716272343723
2019-01-01 17 A,2376.7716272343723
2019-01-01 18 A,2563.9497008819853
2019-01-01 19 A,2376.7716272343723
2019-01-01 20 A,2376.7716272343723
2019-01-01 21 A,2030.5274279404184
2019-01-01 22 A,2005.862893086363
2019-01-01 23 A,2062.117491161499
2019-01-01 24 A,1998.5011200336728
2019-01-02 01 A,1569.482078645717
2019-01-02 02 A,1646.008247279297
2019-01-02 03 A,1646.008247279297
2019-01-02 04 A,1646.008247279297
2019-01-02 05 A,1646.008247279297
2019-01-02 06 A,1646.008247279297
2019-01-02 07 A,1660.1344533740112
2019-01-02 08 A,2592.8326994412
2019-01-02 09 A,2568.93767753605
2019-01-02 10 A,2376.7716272343723
2019-01-02 11 A,2565.2735671259607
2019-01-02 12 A,2568.93767753605
2019-01-02 13 A,2568.93767753605
2019-01-02 14 A,2568.93767753605
2019-01-02 15 A,2568.93767753605
2019-01-02 16 A,2363.110365736254
2019-01-02 17 A,2376.7716272343723
2019-01-02 18 A,2376.7716272343723
2019-01-02 19 A,2376.7716272343723
2019-01-02 20 A,2376.7716272343723
2019-01-02 21 A,2376.7716272343723
2019-01-02 22 A,2335.7233229509575
2019-01-02 23 A,2336.4040735704552
2019-01-02 24 A,2328.635559639058
2019-01-03 01 A,1646.008247279297
2019-01-03 02 A,1647.2152962686055
2019-01-03 03 A,1646.008247279297
2019-01-03 04 A,1639.427158318722
2019-01-03 05 A,1569.482078645717
2019-01-03 06 A,1140.4475137756
2019-01-03 07 A,1119.2075640240685
2019-01-03 08 A,2030.5274279404184
2019-01-03 09 A,1688.57376897498
2019-01-03 10 A,2376.7716272343723
2019-01-03 11 A,2335.7233229509575
2019-01-03 12 A,2030.5274279404184
2019-01-03 13 A,2030.5274279404184
2019-01-03 14 A,2030.5274279404184
2019-01-03 15 A,2030.5274279404184
2019-01-03 16 A,1663.5733749903004
2019-01-03 17 A,1554.717409826382
2019-01-03 18 A,1681.8694979880152
2019-01-03 19 A,1681.8694979880152
2019-01-03 20 A,2297.24607038564
2019-01-03 21 A,2040.9021488480184
2019-01-03 22 A,2005.862893086363
2019-01-03 23 A,1998.5011200336728
2019-01-03 24 A,2062.117491161499
2019-01-04 01 A,1085.2666210799957
2019-01-04 02 A,1085.2666210799957
2019-01-04 03 A,1085.2666210799957
2019-01-04 04 A,1085.2666210799957
2019-01-04 05 A,1076.1146601801388
2019-01-04 06 A,1087.2483085962865
2019-01-04 07 A,1087.2483085962865
2019-01-04 08 A,2030.5274279404184
2019-01-04 09 A,2010.4437586184931
2019-01-04 10 A,2030.5274279404184
2019-01-04 11 A,2012.273611543857
2019-01-04 12 A,1931.0285001785735
2019-01-04 13 A,1658.0904208031163
2019-01-04 14 A,1658.232725787696
2019-01-04 15 A,1484.2034474580669
