일자|시간|구분,공급량
2019-01-01 01 A,2323.6130996215793
2019-01-01 02 A,2086.51227065855
2019-01-01 03 A,1942.2921637290228
2019-01-01 04 A,1992.8315475329596
2019-01-01 05 A,2221.312022752877
2019-01-01 06 A,2403.117989395647
2019-01-01 07 A,2745.8438484458743
2019-01-01 08 A,3352.861575291764
2019-01-01 09 A,3525.315376350612
2019-01-01 10 A,3438.897871066057
2019-01-01 11 A,3292.791092342524
2019-01-01 12 A,3106.1735792978766
2019-01-01 13 A,2851.1877298057916
2019-01-01 14 A,2738.4719728923433
2019-01-01 15 A,2605.369832886234
2019-01-01 16 A,2530.458770491805
2019-01-01 17 A,2629.048482241352
2019-01-01 18 A,2922.3074251063745
2019-01-01 19 A,3341.461034222404
2019-01-01 20 A,3487.7910770123685
2019-01-01 21 A,3413.1822360800893
2019-01-01 22 A,3339.9459633770502
2019-01-01 23 A,3243.7753860108996
2019-01-01 24 A,3071.1977047162964
2019-01-02 01 A,2770.794638107158
2019-01-02 02 A,2392.375563365013
2019-01-02 03 A,2214.6632952156856
2019-01-02 04 A,2287.4026605580907
2019-01-02 05 A,2580.931298986415
2019-01-02 06 A,2821.5717440523895
2019-01-02 07 A,3229.9203562171565
2019-01-02 08 A,3943.9681679966197
2019-01-02 09 A,4120.437431632943
2019-01-02 10 A,3987.6718739441267
2019-01-02 11 A,3835.974192848579
2019-01-02 12 A,3619.1420408530066
2019-01-02 13 A,3320.838355973381
2019-01-02 14 A,3185.8354012123136
2019-01-02 15 A,3036.6085837166693
2019-01-02 16 A,2956.2999559519985
2019-01-02 17 A,3063.6210569205095
2019-01-02 18 A,3383.0071612216457
2019-01-02 19 A,3863.4371397566547
2019-01-02 20 A,3959.824365514947
2019-01-02 21 A,3883.811479483926
2019-01-02 22 A,3805.9584003719838
2019-01-02 23 A,3678.5944509635747
2019-01-02 24 A,3433.8618775829796
2019-01-03 01 A,3081.1407908962406
2019-01-03 02 A,2660.9195979562223
2019-01-03 03 A,2456.7390251184383
2019-01-03 04 A,2537.6282368117154
2019-01-03 05 A,2867.915620948573
2019-01-03 06 A,3119.9933634747035
2019-01-03 07 A,3586.9831740429227
2019-01-03 08 A,4378.422052518272
2019-01-03 09 A,4538.891861760251
2019-01-03 10 A,4380.597598011817
2019-01-03 11 A,4196.6896893477415
2019-01-03 12 A,3961.001532704578
2019-01-03 13 A,3641.8235945571078
2019-01-03 14 A,3493.009445658583
2019-01-03 15 A,3332.8781298228487
2019-01-03 16 A,3239.922106156188
2019-01-03 17 A,3373.149796724023
2019-01-03 18 A,3770.016285497195
2019-01-03 19 A,4304.868492230936
2019-01-03 20 A,4429.767971746069
2019-01-03 21 A,4349.937713230643
2019-01-03 22 A,4259.41227841773
2019-01-03 23 A,4128.008553129681
2019-01-03 24 A,3858.6055379369823
2019-01-04 01 A,3521.404997042144
2019-01-04 02 A,3035.22026114648
2019-01-04 03 A,2815.025658300969
2019-01-04 04 A,2921.3190712270157
2019-01-04 05 A,3290.277830563053
2019-01-04 06 A,3588.4040796208624
2019-01-04 07 A,4098.2244519238175
2019-01-04 08 A,4993.603992368686
2019-01-04 09 A,5202.486146900249
2019-01-04 10 A,5076.190823390417
2019-01-04 11 A,4885.522817539503
2019-01-04 12 A,4610.177595248944
2019-01-04 13 A,4230.719433655027
2019-01-04 14 A,4056.5792647237267
2019-01-04 15 A,3863.098131326503
2019-01-04 16 A,3758.1413144620465
2019-01-04 17 A,3880.036560895781
2019-01-04 18 A,4292.171088261544
2019-01-04 19 A,4847.203171346323
2019-01-04 20 A,5032.916179088783
2019-01-04 21 A,4918.853255021869
2019-01-04 22 A,4711.488738013776
2019-01-04 23 A,4551.039361426985
2019-01-04 24 A,4312.069523616008
2019-01-05 01 A,3921.236829123368
2019-01-05 02 A,3412.181542565787
2019-01-05 03 A,3128.7711283704944
2019-01-05 04 A,3193.1279154103277
2019-01-05 05 A,3514.6583618359095
2019-01-05 06 A,3702.3393805025344
2019-01-05 07 A,3871.461159121989
2019-01-05 08 A,4352.418116635276
2019-01-05 09 A,4854.201672122849
2019-01-05 10 A,4970.134631361156
2019-01-05 11 A,4741.282684320034
2019-01-05 12 A,4455.7458315277545
2019-01-05 13 A,4083.5056378203553
2019-01-05 14 A,3883.164857579177
2019-01-05 15 A,3695.540118669543
2019-01-05 16 A,3597.8132149060707
2019-01-05 17 A,3729.014527390878
2019-01-05 18 A,4212.333309525149
2019-01-05 19 A,4800.938778695958
2019-01-05 20 A,4847.910666864105
2019-01-05 21 A,4551.67143996497
2019-01-05 22 A,4355.691512527239
2019-01-05 23 A,4244.093963259352
2019-01-05 24 A,4064.5535025461318
2019-01-06 01 A,3730.257700679545
2019-01-06 02 A,3334.4832968235287
2019-01-06 03 A,3094.993735388352
2019-01-06 04 A,3172.6728652009588
2019-01-06 05 A,3472.6517761188707
2019-01-06 06 A,3596.653289481295
2019-01-06 07 A,3719.9167001995706
2019-01-06 08 A,4131.051804190885
2019-01-06 09 A,4749.071445932315
2019-01-06 10 A,4866.789340594735
2019-01-06 11 A,4742.929944863709
2019-01-06 12 A,4461.288797718093
2019-01-06 13 A,4085.8010226015767
2019-01-06 14 A,3936.885263965206
2019-01-06 15 A,3769.0731628124086
2019-01-06 16 A,3836.54070101309
2019-01-06 17 A,4016.907633375207
2019-01-06 18 A,4517.429291669538
2019-01-06 19 A,5165.3882896415935
2019-01-06 20 A,5189.316907298448
2019-01-06 21 A,5022.621699780323
2019-01-06 22 A,4796.036248189405
2019-01-06 23 A,4620.272465446197
2019-01-06 24 A,4311.884985194726
2019-01-07 01 A,3790.1974753870018
2019-01-07 02 A,3269.901504275792
2019-01-07 03 A,3088.263011929371
2019-01-07 04 A,3258.2408306953425
2019-01-07 05 A,3678.6590427897427
2019-01-07 06 A,4063.1953310253193
2019-01-07 07 A,4499.304459030038
2019-01-07 08 A,5482.01113516653
2019-01-07 09 A,5758.1359161965875
2019-01-07 10 A,5614.375018088824
2019-01-07 11 A,5453.879625950285
2019-01-07 12 A,5209.011235363429
2019-01-07 13 A,4806.499870347122
2019-01-07 14 A,4614.713144594364
2019-01-07 15 A,4398.164727640874
2019-01-07 16 A,4270.530002046971
2019-01-07 17 A,4443.3957218345295
2019-01-07 18 A,4932.479826084901
2019-01-07 19 A,5636.103831637504
2019-01-07 20 A,5803.638916786336
2019-01-07 21 A,5713.475521235903
2019-01-07 22 A,5615.272696332231
2019-01-07 23 A,5492.777653042173
2019-01-07 24 A,5118.796318603935
2019-01-08 01 A,4648.954386904202
2019-01-08 02 A,4014.7507762475607
2019-01-08 03 A,3787.1343005863846
2019-01-08 04 A,3957.4363398518294
2019-01-08 05 A,4425.200906902096
2019-01-08 06 A,4807.630420615105
2019-01-08 07 A,5576.690475290843
2019-01-08 08 A,6809.51730830618
2019-01-08 09 A,7159.763543297622
2019-01-08 10 A,6984.253315761727
2019-01-08 11 A,6687.516747240498
2019-01-08 12 A,6308.504623842592
2019-01-08 13 A,5790.639356667519
2019-01-08 14 A,5561.718513863513
2019-01-08 15 A,5291.3938059115235
2019-01-08 16 A,5139.252667810981
2019-01-08 17 A,5339.484121899877
2019-01-08 18 A,5935.080391656756
2019-01-08 19 A,6786.363300903086
2019-01-08 20 A,7083.553309117708
2019-01-08 21 A,6932.02596977719
2019-01-08 22 A,6783.286257335057
2019-01-08 23 A,6587.967960883282
2019-01-08 24 A,6237.470130473839
2019-01-09 01 A,5627.364453395543
2019-01-09 02 A,4858.811627284429
2019-01-09 03 A,4497.8856723392455
2019-01-09 04 A,4645.616187354979
2019-01-09 05 A,5241.760197173604
2019-01-09 06 A,5730.490566429204
2019-01-09 07 A,6559.8289927007445
2019-01-09 08 A,8010.0293138539655
2019-01-09 09 A,8368.430780222592
2019-01-09 10 A,8098.7896564460325
2019-01-09 11 A,7790.698206246466
2019-01-09 12 A,7350.321453775663
2019-01-09 13 A,6744.47953047987
2019-01-09 14 A,6470.294349709928
2019-01-09 15 A,6167.221116956019
2019-01-09 16 A,6004.117756292447
2019-01-09 17 A,6222.082285450784
2019-01-09 18 A,6870.741693670408
2019-01-09 19 A,7846.4742674133695
2019-01-09 20 A,8042.232567409275
2019-01-09 21 A,7887.85367300547
2019-01-09 22 A,7729.737425790114
2019-01-09 23 A,7471.066735552828
2019-01-09 24 A,6974.025430113173
2019-01-10 01 A,6257.664109831435
2019-01-10 02 A,5404.212983865067
2019-01-10 03 A,4989.5310432192555
2019-01-10 04 A,5153.813544811252
2019-01-10 05 A,5824.612982392981
2019-01-10 06 A,6336.572009696714
2019-01-10 07 A,7285.008181741841
2019-01-10 08 A,8892.38642281204
2019-01-10 09 A,9218.293687086369
2019-01-10 10 A,8896.804861915663
2019-01-10 11 A,8523.295828196178
2019-01-10 12 A,8044.623343220493
