일자|시간|구분,공급량,일자,시간,구분,month,day,weekday,기온,습도,기압,공급량_r,기온_r,습도_r,기압_r
2019-01-01 01 A,0,2019-01-01,01,0,1,1,1,-3.9324104120182466,60.47435577015542,1014.6089945152527,0.0,-0.0,0.0,0.0
2019-01-01 02 A,0,2019-01-01,02,0,1,1,1,-4.281532813889176,61.425472246627,1014.6089945152527,0.0,-0.0,0.0,0.0
2019-01-01 03 A,0,2019-01-01,03,0,1,1,1,-4.570998891637223,61.87023375091783,1014.5830277147776,0.0,-0.0,0.0,0.0
2019-01-01 04 A,0,2019-01-01,04,0,1,1,1,-4.876857394052632,62.78380899823177,1014.5558790892879,0.0,-0.0,0.0,0.0
2019-01-01 05 A,0,2019-01-01,05,0,1,1,1,-5.053839767010088,63.241102618631686,1014.5558790892879,0.0,-0.0,0.0,0.0
2019-01-01 06 A,0,2019-01-01,06,0,1,1,1,-5.257556229741176,63.41987829356179,1014.633298876063,0.0,-0.0,0.0,0.0
2019-01-01 07 A,0,2019-01-01,07,0,1,1,1,-5.328980176450474,63.55212221155272,1014.8709440669477,0.0,-0.0,0.0,0.0
2019-01-01 08 A,0,2019-01-01,08,0,1,1,1,-5.340179276084352,62.589467978975385,1015.1433892727865,0.0,0.3579913377717842,0.03497535743677638,0.0005267001972411674
2019-01-01 09 A,0,2019-01-01,09,0,1,1,1,-4.876875394683153,57.63639481259146,1015.3244070655127,0.0,0.13904893566684853,-0.0616857680608814,0.0007051115790687418
2019-01-01 10 A,0,2019-01-01,10,0,1,1,1,-3.7595655953938127,52.83463653311148,1015.3244070655127,0.0,-0.1775177188793354,-0.14604110361345313,0.0007307231941430682
2019-01-01 11 A,0,2019-01-01,11,0,1,1,1,-2.3019235063182655,47.35991046435281,1015.2923565897356,0.0,-0.5279904003087151,-0.24566681728904594,0.0007259112244352406
2019-01-01 12 A,0,2019-01-01,12,0,1,1,1,-1.0198589132993312,43.54095764553882,1014.9004004773607,0.0,-0.798201177655719,-0.31150856258614534,0.00033957852413412005
2019-01-01 13 A,0,2019-01-01,13,0,1,1,1,-0.04809703186542769,41.176178856747676,1014.2497476334196,0.0,-0.990851827395901,-0.3507370249726927,-0.00037801956930478317
2019-01-01 14 A,0,2019-01-01,14,0,1,1,1,0.5523695814365175,40.072800671533145,1013.8131267686351,0.0,-1.1036539005863668,-0.3694498424751491,-0.0010423170596189383
2019-01-01 15 A,0,2019-01-01,15,0,1,1,1,0.7437481165119841,39.95696597062953,1013.6620237604457,0.0,-1.1392739977556208,-0.3616024027548597,-0.0014592672601671148
2019-01-01 16 A,0,2019-01-01,16,0,1,1,1,0.5510501585638347,40.50084649758846,1013.6527582926055,0.0,-1.1129924621745715,-0.29730430521756895,-0.0016464183873393992
2019-01-01 17 A,0,2019-01-01,17,0,1,1,1,-0.18360523633442602,43.06435570851528,1013.6527582926055,0.0,-0.9511631778524153,-0.1849218896106754,-0.0016464183873393992
2019-01-01 18 A,0,2019-01-01,18,0,1,1,1,-1.188731918011309,46.77568766949553,1013.6596142022855,0.0,-0.4835919113956196,-0.012335808685639566,-0.0016081499844382856
2019-01-01 19 A,0,2019-01-01,19,0,1,1,1,-1.7282485792142344,49.51727062256885,1013.9255601220873,0.0,0.6945957491543626,0.13725726994069373,-0.0009605281018855327
2019-01-01 20 A,0,2019-01-01,20,0,1,1,1,-2.249483563350204,51.94038456767543,1014.201058596567,0.0,45.76969609359907,0.26141827653256827,-4.800497803049676e-05
2019-01-01 21 A,0,2019-01-01,21,0,1,1,1,-2.6215050889289255,53.91495655635382,1014.5759742940866,0.0,-5.745925874685785,0.3454252174256901,0.0007524537859189956
2019-01-01 22 A,0,2019-01-01,22,0,1,1,1,-3.0162998290577403,55.17028917224283,1014.8348019407838,0.0,-5.0555394522590875,0.3807427023562272,0.0011569716067564599
