일자|시간|구분,공급량
2019-01-01 01 A,1507.1259
2019-01-01 02 A,1337.9397
2019-01-01 03 A,1159.9839
2019-01-01 04 A,1067.803
2019-01-01 05 A,1122.7941
2019-01-01 06 A,746.85046
2019-01-01 07 A,1245.8257
2019-01-01 08 A,1307.9836
2019-01-01 09 A,1523.4194
2019-01-01 10 A,1559.2142
2019-01-01 11 A,1787.2794
2019-01-01 12 A,1796.6942
2019-01-01 13 A,1706.477
2019-01-01 14 A,1680.9915
2019-01-01 15 A,1629.083
2019-01-01 16 A,1624.619
2019-01-01 17 A,1600.8333
2019-01-01 18 A,1736.3315
2019-01-01 19 A,1871.7039
2019-01-01 20 A,1891.0432
2019-01-01 21 A,1831.0822
2019-01-01 22 A,1753.3677
2019-01-01 23 A,1714.3871
2019-01-01 24 A,1638.631
2019-01-02 01 A,1507.1259
2019-01-02 02 A,1274.5546
2019-01-02 03 A,1312.9113
2019-01-02 04 A,1067.803
2019-01-02 05 A,1036.033
2019-01-02 06 A,721.9583
2019-01-02 07 A,1223.6946
2019-01-02 08 A,1307.9836
2019-01-02 09 A,1357.7766
2019-01-02 10 A,1442.2013
2019-01-02 11 A,1826.9702
2019-01-02 12 A,2089.934
2019-01-02 13 A,2075.156
2019-01-02 14 A,2040.9949
2019-01-02 15 A,1968.4363
2019-01-02 16 A,1874.6699
2019-01-02 17 A,1916.4772
2019-01-02 18 A,2059.786
2019-01-02 19 A,2211.9775
2019-01-02 20 A,2245.702
2019-01-02 21 A,2182.6353
2019-01-02 22 A,2047.7051
2019-01-02 23 A,1866.7831
2019-01-02 24 A,1759.3651
2019-01-03 01 A,1648.6415
2019-01-03 02 A,1467.4723
2019-01-03 03 A,1307.0355
2019-01-03 04 A,1071.7446
2019-01-03 05 A,1133.4849
2019-01-03 06 A,853.03937
2019-01-03 07 A,1085.6351
2019-01-03 08 A,1307.9836
2019-01-03 09 A,1443.0192
2019-01-03 10 A,1448.3252
2019-01-03 11 A,1681.5461
2019-01-03 12 A,2044.0469
2019-01-03 13 A,1979.3278
2019-01-03 14 A,1953.8422
2019-01-03 15 A,1881.283
2019-01-03 16 A,1858.0585
2019-01-03 17 A,1753.5651
2019-01-03 18 A,1974.8447
2019-01-03 19 A,2155.291
2019-01-03 20 A,2174.243
2019-01-03 21 A,2102.9946
2019-01-03 22 A,2041.0049
2019-01-03 23 A,1569.3954
2019-01-03 24 A,1509.0559
2019-01-04 01 A,1484.486
2019-01-04 02 A,1384.8337
2019-01-04 03 A,1120.3663
2019-01-04 04 A,1163.6104
2019-01-04 05 A,1091.9131
2019-01-04 06 A,748.5301
2019-01-04 07 A,1230.0815
2019-01-04 08 A,1344.4369
2019-01-04 09 A,1384.654
2019-01-04 10 A,1532.1029
2019-01-04 11 A,2059.1294
2019-01-04 12 A,1784.4106
2019-01-04 13 A,1693.5911
2019-01-04 14 A,1668.1055
2019-01-04 15 A,1615.109
2019-01-04 16 A,1565.8203
2019-01-04 17 A,1557.1567
2019-01-04 18 A,1657.8
2019-01-04 19 A,1865.1383
2019-01-04 20 A,1884.4777
2019-01-04 21 A,1832.5352
2019-01-04 22 A,1790.8671
2019-01-04 23 A,1721.592
2019-01-04 24 A,1584.808
2019-01-05 01 A,1717.0034
2019-01-05 02 A,1435.4922
2019-01-05 03 A,1122.5372
2019-01-05 04 A,1019.7234
2019-01-05 05 A,1154.8417
2019-01-05 06 A,748.5301
2019-01-05 07 A,1092.1499
2019-01-05 08 A,1344.4369
2019-01-05 09 A,1521.6145
2019-01-05 10 A,1530.6223
2019-01-05 11 A,1838.1898
2019-01-05 12 A,1945.3837
2019-01-05 13 A,1852.4174
2019-01-05 14 A,1826.9318
2019-01-05 15 A,1754.3726
2019-01-05 16 A,1706.1708
2019-01-05 17 A,1695.274
2019-01-05 18 A,1847.9343
2019-01-05 19 A,2028.3802
2019-01-05 20 A,2071.193
2019-01-05 21 A,1984.0184
2019-01-05 22 A,1922.0286
2019-01-05 23 A,1803.9121
2019-01-05 24 A,1653.9177
2019-01-06 01 A,1454.697
2019-01-06 02 A,1386.5146
2019-01-06 03 A,1150.3745
2019-01-06 04 A,1205.2163
2019-01-06 05 A,1111.2384
2019-01-06 06 A,820.0486
2019-01-06 07 A,1124.5416
2019-01-06 08 A,1307.9836
2019-01-06 09 A,1384.654
2019-01-06 10 A,1448.3252
2019-01-06 11 A,1722.9225
2019-01-06 12 A,1958.3082
2019-01-06 13 A,1893.5891
2019-01-06 14 A,1868.1035
2019-01-06 15 A,1795.5443
2019-01-06 16 A,1772.3198
2019-01-06 17 A,1667.8264
2019-01-06 18 A,1889.1061
2019-01-06 19 A,2069.5525
2019-01-06 20 A,2096.4385
2019-01-06 21 A,2025.1902
2019-01-06 22 A,1963.2003
2019-01-06 23 A,1821.392
2019-01-06 24 A,1660.8839
2019-01-07 01 A,1567.8689
2019-01-07 02 A,1391.1838
2019-01-07 03 A,1218.3363
2019-01-07 04 A,1098.5197
2019-01-07 05 A,1091.9131
2019-01-07 06 A,737.8002
2019-01-07 07 A,1223.6946
2019-01-07 08 A,1307.9836
2019-01-07 09 A,1485.4583
2019-01-07 10 A,1523.4958
2019-01-07 11 A,1764.4678
2019-01-07 12 A,2293.3965
2019-01-07 13 A,2223.0789
2019-01-07 14 A,2188.9167
2019-01-07 15 A,2116.3574
2019-01-07 16 A,1971.5498
2019-01-07 17 A,2034.4338
2019-01-07 18 A,2200.8635
2019-01-07 19 A,2348.9072
2019-01-07 20 A,2396.2615
2019-01-07 21 A,2260.512
2019-01-07 22 A,2149.535
2019-01-07 23 A,1986.192
2019-01-07 24 A,1756.5096
2019-01-08 01 A,1468.536
2019-01-08 02 A,1452.1688
2019-01-08 03 A,1216.1561
2019-01-08 04 A,1118.5714
2019-01-08 05 A,1111.2384
2019-01-08 06 A,760.95935
