일자|시간|구분,공급량
2019-01-01 01 A,1977.262
2019-01-01 02 A,2083.3193
2019-01-01 03 A,1388.9834
2019-01-01 04 A,1192.1666
2019-01-01 05 A,1207.2239
2019-01-01 06 A,1038.374
2019-01-01 07 A,1194.8005
2019-01-01 08 A,1463.4175
2019-01-01 09 A,1556.0886
2019-01-01 10 A,1588.638
2019-01-01 11 A,2260.9116
2019-01-01 12 A,2344.7302
2019-01-01 13 A,2260.438
2019-01-01 14 A,2206.8098
2019-01-01 15 A,2096.8706
2019-01-01 16 A,2053.8936
2019-01-01 17 A,2095.6104
2019-01-01 18 A,2221.8713
2019-01-01 19 A,2379.9307
2019-01-01 20 A,2394.9358
2019-01-01 21 A,2300.8887
2019-01-01 22 A,2211.5437
2019-01-01 23 A,2096.0586
2019-01-01 24 A,1968.445
2019-01-02 01 A,1977.262
2019-01-02 02 A,1703.7372
2019-01-02 03 A,1671.5398
2019-01-02 04 A,1192.1666
2019-01-02 05 A,1129.2576
2019-01-02 06 A,1049.5289
2019-01-02 07 A,1179.3635
2019-01-02 08 A,1455.9578
2019-01-02 09 A,1571.5354
2019-01-02 10 A,1564.9943
2019-01-02 11 A,2270.9033
2019-01-02 12 A,2630.2566
2019-01-02 13 A,2535.0884
2019-01-02 14 A,2485.7632
2019-01-02 15 A,2353.672
2019-01-02 16 A,2305.972
2019-01-02 17 A,2335.1917
2019-01-02 18 A,2506.1682
2019-01-02 19 A,2660.0112
2019-01-02 20 A,2691.8594
2019-01-02 21 A,2566.382
2019-01-02 22 A,2427.3655
2019-01-02 23 A,2259.3518
2019-01-02 24 A,2209.8232
2019-01-03 01 A,2014.6654
2019-01-03 02 A,1829.8412
2019-01-03 03 A,1635.8281
2019-01-03 04 A,1140.6105
2019-01-03 05 A,1201.7091
2019-01-03 06 A,1033.5625
2019-01-03 07 A,1169.9899
2019-01-03 08 A,1455.9578
2019-01-03 09 A,1553.9658
2019-01-03 10 A,1596.4253
2019-01-03 11 A,2218.5596
2019-01-03 12 A,2511.891
2019-01-03 13 A,2427.2544
2019-01-03 14 A,2347.611
2019-01-03 15 A,2247.285
2019-01-03 16 A,2223.638
2019-01-03 17 A,2215.7874
2019-01-03 18 A,2373.71
2019-01-03 19 A,2564.8335
2019-01-03 20 A,2569.351
2019-01-03 21 A,2486.9932
2019-01-03 22 A,2429.632
2019-01-03 23 A,2228.9739
2019-01-03 24 A,2053.513
2019-01-04 01 A,2056.5889
2019-01-04 02 A,1807.4469
2019-01-04 03 A,1584.1057
2019-01-04 04 A,1124.5845
2019-01-04 05 A,1230.5333
2019-01-04 06 A,1004.3843
2019-01-04 07 A,1179.3635
2019-01-04 08 A,1431.5415
2019-01-04 09 A,1561.7272
2019-01-04 10 A,1827.6649
2019-01-04 11 A,2589.838
2019-01-04 12 A,2244.009
2019-01-04 13 A,2162.1704
2019-01-04 14 A,2102.175
2019-01-04 15 A,2019.2733
2019-01-04 16 A,1933.5022
2019-01-04 17 A,1953.6113
2019-01-04 18 A,2100.6287
2019-01-04 19 A,2292.77
2019-01-04 20 A,2306.3965
2019-01-04 21 A,2243.6057
2019-01-04 22 A,2180.4106
2019-01-04 23 A,1994.5222
2019-01-04 24 A,1821.6703
2019-01-05 01 A,2074.602
2019-01-05 02 A,1807.4469
2019-01-05 03 A,1462.2379
2019-01-05 04 A,1156.8629
2019-01-05 05 A,1253.8257
2019-01-05 06 A,1004.16974
2019-01-05 07 A,1179.3229
2019-01-05 08 A,1415.4982
2019-01-05 09 A,1541.7502
2019-01-05 10 A,1733.1876
2019-01-05 11 A,2355.209
2019-01-05 12 A,2441.5352
2019-01-05 13 A,2333.5457
2019-01-05 14 A,2295.162
2019-01-05 15 A,2154.7756
2019-01-05 16 A,2114.6658
2019-01-05 17 A,2126.3513
2019-01-05 18 A,2274.2883
2019-01-05 19 A,2505.8594
2019-01-05 20 A,2524.027
2019-01-05 21 A,2383.4824
2019-01-05 22 A,2300.6958
2019-01-05 23 A,2260.9585
2019-01-05 24 A,2046.595
2019-01-06 01 A,1975.3737
2019-01-06 02 A,1748.5468
2019-01-06 03 A,1437.0378
2019-01-06 04 A,1073.3972
2019-01-06 05 A,1296.4415
2019-01-06 06 A,1038.4603
2019-01-06 07 A,1182.3147
2019-01-06 08 A,1455.4501
2019-01-06 09 A,1569.8925
2019-01-06 10 A,1596.4253
2019-01-06 11 A,2180.1921
2019-01-06 12 A,2486.0586
2019-01-06 13 A,2420.729
2019-01-06 14 A,2389.7173
2019-01-06 15 A,2213.3264
2019-01-06 16 A,2180.7456
2019-01-06 17 A,2202.0002
2019-01-06 18 A,2368.111
2019-01-06 19 A,2555.0557
2019-01-06 20 A,2564.1282
2019-01-06 21 A,2478.6978
2019-01-06 22 A,2404.089
2019-01-06 23 A,2309.2695
2019-01-06 24 A,2121.2095
2019-01-07 01 A,1970.999
2019-01-07 02 A,1787.6348
2019-01-07 03 A,1607.2322
2019-01-07 04 A,1309.335
2019-01-07 05 A,1254.5586
2019-01-07 06 A,994.1213
2019-01-07 07 A,1179.3635
2019-01-07 08 A,1459.9061
2019-01-07 09 A,1540.7704
2019-01-07 10 A,1681.3212
2019-01-07 11 A,2082.8418
2019-01-07 12 A,2834.2114
2019-01-07 13 A,2766.9316
2019-01-07 14 A,2754.973
2019-01-07 15 A,2586.094
2019-01-07 16 A,2514.0105
2019-01-07 17 A,2520.8499
2019-01-07 18 A,2690.9995
2019-01-07 19 A,2854.2395
2019-01-07 20 A,2882.5083
2019-01-07 21 A,2658.8364
2019-01-07 22 A,2537.283
2019-01-07 23 A,2458.047
2019-01-07 24 A,2225.1812
