일자|시간|구분,공급량
2019-01-01 01 A,2046.5956
2019-01-01 02 A,1764.9735
2019-01-01 03 A,1366.9387
2019-01-01 04 A,1253.9017
2019-01-01 05 A,1308.9866
2019-01-01 06 A,1247.6317
2019-01-01 07 A,1612.5125
2019-01-01 08 A,1675.8387
2019-01-01 09 A,1871.8667
2019-01-01 10 A,1739.1184
2019-01-01 11 A,2253.3518
2019-01-01 12 A,2397.3826
2019-01-01 13 A,2338.4414
2019-01-01 14 A,2316.026
2019-01-01 15 A,2111.324
2019-01-01 16 A,2085.9473
2019-01-01 17 A,2095.4988
2019-01-01 18 A,2209.4219
2019-01-01 19 A,2307.5984
2019-01-01 20 A,2300.6753
2019-01-01 21 A,2209.9834
2019-01-01 22 A,2062.5564
2019-01-01 23 A,1996.3644
2019-01-01 24 A,1924.2266
2019-01-02 01 A,2046.5956
2019-01-02 02 A,1649.2963
2019-01-02 03 A,1659.155
2019-01-02 04 A,1253.9017
2019-01-02 05 A,1211.4141
2019-01-02 06 A,1211.1145
2019-01-02 07 A,1537.4064
2019-01-02 08 A,1646.4076
2019-01-02 09 A,1816.9998
2019-01-02 10 A,1678.8262
2019-01-02 11 A,2226.8906
2019-01-02 12 A,2880.4514
2019-01-02 13 A,2574.099
2019-01-02 14 A,2548.9666
2019-01-02 15 A,2344.0352
2019-01-02 16 A,2264.11
2019-01-02 17 A,2327.2537
2019-01-02 18 A,2505.7039
2019-01-02 19 A,2719.9436
2019-01-02 20 A,2667.4207
2019-01-02 21 A,2512.8083
2019-01-02 22 A,2394.0376
2019-01-02 23 A,2245.1045
2019-01-02 24 A,2297.2139
2019-01-03 01 A,1929.0645
2019-01-03 02 A,1784.3419
2019-01-03 03 A,1656.5858
2019-01-03 04 A,1211.3193
2019-01-03 05 A,1308.3994
2019-01-03 06 A,1288.4927
2019-01-03 07 A,1487.3816
2019-01-03 08 A,1646.4076
2019-01-03 09 A,1841.9972
2019-01-03 10 A,1790.8239
2019-01-03 11 A,2261.259
2019-01-03 12 A,2550.9822
2019-01-03 13 A,2500.1018
2019-01-03 14 A,2482.271
2019-01-03 15 A,2280.848
2019-01-03 16 A,2234.926
2019-01-03 17 A,2206.6912
2019-01-03 18 A,2386.9397
2019-01-03 19 A,2575.8774
2019-01-03 20 A,2531.9734
2019-01-03 21 A,2403.8022
2019-01-03 22 A,2341.3184
2019-01-03 23 A,2030.3293
2019-01-03 24 A,1863.3323
2019-01-04 01 A,2019.663
2019-01-04 02 A,1713.5374
2019-01-04 03 A,1440.1931
2019-01-04 04 A,1262.0223
2019-01-04 05 A,1357.3412
2019-01-04 06 A,1181.7369
2019-01-04 07 A,1540.0208
2019-01-04 08 A,1663.488
2019-01-04 09 A,1797.3694
2019-01-04 10 A,1997.2333
2019-01-04 11 A,2544.6875
2019-01-04 12 A,2267.2234
2019-01-04 13 A,2247.1514
2019-01-04 14 A,2149.193
2019-01-04 15 A,2046.9158
2019-01-04 16 A,1936.1378
2019-01-04 17 A,1931.0491
2019-01-04 18 A,2097.565
2019-01-04 19 A,2295.0286
2019-01-04 20 A,2274.8862
2019-01-04 21 A,2228.9106
2019-01-04 22 A,2179.8472
2019-01-04 23 A,2102.1575
2019-01-04 24 A,1829.0277
2019-01-05 01 A,2286.3975
2019-01-05 02 A,1730.6981
2019-01-05 03 A,1433.8357
2019-01-05 04 A,1219.4476
2019-01-05 05 A,1282.5728
2019-01-05 06 A,1138.3427
2019-01-05 07 A,1498.8312
2019-01-05 08 A,1667.0972
2019-01-05 09 A,1777.1837
2019-01-05 10 A,1861.6178
2019-01-05 11 A,2404.182
2019-01-05 12 A,2639.467
2019-01-05 13 A,2402.6921
2019-01-05 14 A,2368.082
2019-01-05 15 A,2158.0242
2019-01-05 16 A,2180.4177
2019-01-05 17 A,2173.7334
2019-01-05 18 A,2257.653
2019-01-05 19 A,2451.835
2019-01-05 20 A,2439.3408
2019-01-05 21 A,2232.9827
2019-01-05 22 A,2263.5586
2019-01-05 23 A,2224.1343
2019-01-05 24 A,1908.4546
2019-01-06 01 A,1840.492
2019-01-06 02 A,1672.5873
2019-01-06 03 A,1380.6123
2019-01-06 04 A,1223.4803
2019-01-06 05 A,1403.8524
2019-01-06 06 A,1344.6028
2019-01-06 07 A,1499.9418
2019-01-06 08 A,1662.3938
2019-01-06 09 A,1801.5205
2019-01-06 10 A,1790.8239
2019-01-06 11 A,2206.8713
2019-01-06 12 A,2535.612
2019-01-06 13 A,2495.136
2019-01-06 14 A,2543.2795
2019-01-06 15 A,2308.9949
2019-01-06 16 A,2272.0266
2019-01-06 17 A,2265.3767
2019-01-06 18 A,2344.557
2019-01-06 19 A,2541.7258
2019-01-06 20 A,2442.09
2019-01-06 21 A,2232.3481
2019-01-06 22 A,2194.2205
2019-01-06 23 A,2276.9524
2019-01-06 24 A,2098.5947
2019-01-07 01 A,1884.0763
2019-01-07 02 A,1864.7144
2019-01-07 03 A,1643.9807
2019-01-07 04 A,1218.9398
2019-01-07 05 A,1423.1797
2019-01-07 06 A,1196.7551
2019-01-07 07 A,1537.4064
2019-01-07 08 A,1660.7693
2019-01-07 09 A,1792.2638
2019-01-07 10 A,1871.9468
2019-01-07 11 A,2099.596
2019-01-07 12 A,2946.6372
2019-01-07 13 A,2897.503
2019-01-07 14 A,2903.1433
2019-01-07 15 A,2746.6208
2019-01-07 16 A,2669.0105
2019-01-07 17 A,2641.9922
2019-01-07 18 A,2902.76
2019-01-07 19 A,2741.6353
2019-01-07 20 A,2908.6345
2019-01-07 21 A,2660.5154
2019-01-07 22 A,2512.7227
2019-01-07 23 A,2703.9607
2019-01-07 24 A,2246.5518
2019-01-08 01 A,1862.4713
2019-01-08 02 A,1763.6355
2019-01-08 03 A,1538.4904
2019-01-08 04 A,1200.0378
2019-01-08 05 A,1403.8524
2019-01-08 06 A,1200.9373
2019-01-08 07 A,1487.3816
2019-01-08 08 A,1666.249
2019-01-08 09 A,1666.3374
2019-01-08 10 A,1768.6693
2019-01-08 11 A,2007.8413
2019-01-08 12 A,2855.7798
2019-01-08 13 A,2617.5103
2019-01-08 14 A,2387.408
2019-01-08 15 A,2257.6382
2019-01-08 16 A,2271.107
2019-01-08 17 A,2396.0657
2019-01-08 18 A,2431.9038
2019-01-08 19 A,2692.224
2019-01-08 20 A,2698.4736
2019-01-08 21 A,2507.8645
2019-01-08 22 A,2463.1013
2019-01-08 23 A,2384.4888
2019-01-08 24 A,2191.9338
2019-01-09 01 A,2101.5142
2019-01-09 02 A,1949.9065
2019-01-09 03 A,1465.0958
2019-01-09 04 A,1094.0111
2019-01-09 05 A,1218.1615
2019-01-09 06 A,1313.4152
2019-01-09 07 A,1540.9918
2019-01-09 08 A,1688.437
2019-01-09 09 A,1639.3113
2019-01-09 10 A,1829.4181
2019-01-09 11 A,2263.2754
2019-01-09 12 A,2602.2612
2019-01-09 13 A,2657.6917
2019-01-09 14 A,2413.2651
2019-01-09 15 A,2350.65
2019-01-09 16 A,2193.1152
2019-01-09 17 A,2270.3774
2019-01-09 18 A,2324.148
2019-01-09 19 A,2541.4917
2019-01-09 20 A,2549.585
2019-01-09 21 A,2399.9324
2019-01-09 22 A,2406.84
2019-01-09 23 A,2249.219
2019-01-09 24 A,2163.9348
2019-01-10 01 A,2306.7102
2019-01-10 02 A,1691.7513
2019-01-10 03 A,1504.3921
2019-01-10 04 A,1294.6471
2019-01-10 05 A,1323.2229
2019-01-10 06 A,1288.1626
2019-01-10 07 A,1447.546
2019-01-10 08 A,1657.2246
2019-01-10 09 A,1639.5674
2019-01-10 10 A,1946.0581
2019-01-10 11 A,2261.259
2019-01-10 12 A,2615.8215
2019-01-10 13 A,2660.4233
2019-01-10 14 A,2540.557
2019-01-10 15 A,2308.877
2019-01-10 16 A,2079.1238
2019-01-10 17 A,2061.9277
2019-01-10 18 A,2324.8777
2019-01-10 19 A,2544.9014
2019-01-10 20 A,2520.4146
2019-01-10 21 A,2479.2004
2019-01-10 22 A,2413.23
2019-01-10 23 A,2186.8518
2019-01-10 24 A,2244.5757
2019-01-11 01 A,2183.8896
2019-01-11 02 A,1677.9136
2019-01-11 03 A,1637.2822
2019-01-11 04 A,1211.3193
