일자|시간|구분,공급량
2019-01-01 01 A,1907.702200630787
2019-01-01 02 A,1710.6496864670664
2019-01-01 03 A,1590.2067782361664
2019-01-01 04 A,1641.248555859739
2019-01-01 05 A,1795.7041013855003
2019-01-01 06 A,1933.6694001522228
2019-01-01 07 A,2227.383033029292
2019-01-01 08 A,2687.964535389178
2019-01-01 09 A,2888.934284132402
2019-01-01 10 A,2677.161375646469
2019-01-01 11 A,2654.5114455902685
2019-01-01 12 A,2458.9076403849745
2019-01-01 13 A,2252.543107847723
2019-01-01 14 A,2129.713813080302
2019-01-01 15 A,2042.5832931600173
2019-01-01 16 A,1920.5268347615759
2019-01-01 17 A,2008.1980914910525
2019-01-01 18 A,2279.4670503694865
2019-01-01 19 A,2654.7765649133244
2019-01-01 20 A,2633.8330059190125
2019-01-01 21 A,2568.54195379532
2019-01-01 22 A,2480.9291323192224
2019-01-01 23 A,2334.8529832272166
2019-01-01 24 A,2185.2981727820666
2019-01-02 01 A,2034.3706967210958
2019-01-02 02 A,1777.7438158905425
2019-01-02 03 A,1677.3350313707194
2019-01-02 04 A,1710.4770253646054
2019-01-02 05 A,1910.340443628218
2019-01-02 06 A,2059.424083992928
2019-01-02 07 A,2343.7571055826525
2019-01-02 08 A,2827.1977932223685
2019-01-02 09 A,2970.301352258329
2019-01-02 10 A,2850.2562052383523
2019-01-02 11 A,2777.6005767423376
2019-01-02 12 A,2521.009137886426
2019-01-02 13 A,2333.071840848976
2019-01-02 14 A,2248.435261626472
2019-01-02 15 A,2110.900968257638
2019-01-02 16 A,2057.6767694458313
2019-01-02 17 A,2102.6247456117885
2019-01-02 18 A,2337.7143675684097
2019-01-02 19 A,2664.1383662291923
2019-01-02 20 A,2735.058628160599
2019-01-02 21 A,2676.1305638724907
2019-01-02 22 A,2642.1261841383453
2019-01-02 23 A,2488.1850596764566
2019-01-02 24 A,2368.4708022193468
2019-01-03 01 A,2033.9853832415758
2019-01-03 02 A,1783.9825967378674
2019-01-03 03 A,1722.7965808310967
2019-01-03 04 A,1741.0011392427114
2019-01-03 05 A,1921.5662477710603
2019-01-03 06 A,2100.161460342833
2019-01-03 07 A,2373.9224645081226
2019-01-03 08 A,2846.676841599999
2019-01-03 09 A,2989.5801203404226
2019-01-03 10 A,2873.317943346192
2019-01-03 11 A,2791.3914205002116
2019-01-03 12 A,2509.1152554452733
2019-01-03 13 A,2287.669691802735
2019-01-03 14 A,2182.8015951316934
2019-01-03 15 A,2067.522052389253
2019-01-03 16 A,2042.8704004770195
