일자|시간|구분,공급량
2019-01-01 01 A,1962.4140356692344
2019-01-01 02 A,1775.692490323613
2019-01-01 03 A,1734.0464073049789
2019-01-01 04 A,1760.4193067072258
2019-01-01 05 A,1902.0297981672848
2019-01-01 06 A,2026.406408413504
2019-01-01 07 A,2345.583171803213
2019-01-01 08 A,2847.308973337669
2019-01-01 09 A,2967.2636008497393
2019-01-01 10 A,2779.8306066163036
2019-01-01 11 A,2807.9674943003724
2019-01-01 12 A,2633.1060595357544
2019-01-01 13 A,2441.9320583331128
2019-01-01 14 A,2239.011578981253
2019-01-01 15 A,2148.044893022386
2019-01-01 16 A,1980.2759056933899
2019-01-01 17 A,2137.036323286458
2019-01-01 18 A,2384.442315985599
2019-01-01 19 A,2753.700676523366
2019-01-01 20 A,2856.003554493847
2019-01-01 21 A,2752.5395926306555
2019-01-01 22 A,2627.8390355512215
2019-01-01 23 A,2401.495745438215
2019-01-01 24 A,2267.4336219912934
2019-01-02 01 A,2052.698985008138
2019-01-02 02 A,1784.00028485368
2019-01-02 03 A,1649.6707979222172
2019-01-02 04 A,1655.4351450099937
2019-01-02 05 A,1884.3590684728642
2019-01-02 06 A,2109.1027236427567
2019-01-02 07 A,2288.8138488519303
2019-01-02 08 A,2805.172645334835
2019-01-02 09 A,2978.6061318855086
2019-01-02 10 A,2877.606217150262
2019-01-02 11 A,2774.110567219548
2019-01-02 12 A,2478.8042977299215
2019-01-02 13 A,2418.923109418079
2019-01-02 14 A,2276.090915153302
2019-01-02 15 A,2069.378390447884
2019-01-02 16 A,1994.4893008399984
2019-01-02 17 A,2124.530191744761
2019-01-02 18 A,2348.7183724837546
2019-01-02 19 A,2735.341448789177
2019-01-02 20 A,2764.7117562302733
2019-01-02 21 A,2707.226974560963
2019-01-02 22 A,2614.8413296098506
2019-01-02 23 A,2502.252425407765
2019-01-02 24 A,2272.8145622316715
2019-01-03 01 A,2015.9904754645565
2019-01-03 02 A,1875.511918575654
2019-01-03 03 A,1773.5510009634381
2019-01-03 04 A,1694.3680288824514
2019-01-03 05 A,1927.5457058225522
2019-01-03 06 A,2109.96260908621
2019-01-03 07 A,2373.506452634087
2019-01-03 08 A,2804.943378471047
2019-01-03 09 A,2940.3944999833584
2019-01-03 10 A,2843.6027159896694
2019-01-03 11 A,2856.9396318271133
2019-01-03 12 A,2454.0966844703344
2019-01-03 13 A,2233.1398003346517
2019-01-03 14 A,2121.876204284652
2019-01-03 15 A,1957.9726905896023
2019-01-03 16 A,1934.0584135009312
2019-01-03 17 A,1929.6204195987677
2019-01-03 18 A,2225.690189017126
2019-01-03 19 A,2577.794015909573
2019-01-03 20 A,2613.0164271629146
2019-01-03 21 A,2614.6363144134625
2019-01-03 22 A,2571.8379136723092
2019-01-03 23 A,2404.82919946298
2019-01-03 24 A,2217.366388547954
2019-01-04 01 A,1988.5730680595123
2019-01-04 02 A,1755.034846878014
2019-01-04 03 A,1624.6650850303188
2019-01-04 04 A,1636.2875531479629
