일자|시간|구분,공급량
2019-01-01 01 A,1958.4302000377295
2019-01-01 02 A,1865.5073140438653
2019-01-01 03 A,1725.0964045739076
2019-01-01 04 A,1759.050970516758
2019-01-01 05 A,1859.508875927658
2019-01-01 06 A,2002.7460482485094
2019-01-01 07 A,2360.9981950601
2019-01-01 08 A,2897.067353037463
2019-01-01 09 A,3011.7654920389796
2019-01-01 10 A,2727.223045900578
2019-01-01 11 A,2756.839427184748
2019-01-01 12 A,2625.730129444885
2019-01-01 13 A,2432.708399717268
2019-01-01 14 A,2243.802325272209
2019-01-01 15 A,2122.6332041870696
2019-01-01 16 A,1918.79879342768
2019-01-01 17 A,2074.807011247684
2019-01-01 18 A,2309.4576318996537
2019-01-01 19 A,2791.971969045821
2019-01-01 20 A,2746.565422600572
2019-01-01 21 A,2676.658652340008
2019-01-01 22 A,2574.1758868604793
2019-01-01 23 A,2385.503759269321
2019-01-01 24 A,2244.888268360699
2019-01-02 01 A,1971.8157955553943
2019-01-02 02 A,1707.8841464200088
2019-01-02 03 A,1586.6027436326533
2019-01-02 04 A,1600.8262753961774
2019-01-02 05 A,1802.2003861778483
2019-01-02 06 A,2004.1018230017191
2019-01-02 07 A,2205.7337959338947
2019-01-02 08 A,2737.1591625097753
2019-01-02 09 A,2897.4457655049787
2019-01-02 10 A,2805.486324236452
2019-01-02 11 A,2778.53342894818
2019-01-02 12 A,2544.583632371024
2019-01-02 13 A,2396.7870505124915
2019-01-02 14 A,2269.089562752382
2019-01-02 15 A,2103.2409263383956
2019-01-02 16 A,2000.388373279222
2019-01-02 17 A,2114.461500365928
2019-01-02 18 A,2319.4539954830193
2019-01-02 19 A,2642.422756976319
2019-01-02 20 A,2735.407356992975
2019-01-02 21 A,2688.09561883167
2019-01-02 22 A,2602.7749081124944
2019-01-02 23 A,2500.659064461989
2019-01-02 24 A,2340.487422590737
2019-01-03 01 A,2019.423101074608
2019-01-03 02 A,1883.1727397675688
2019-01-03 03 A,1756.491635501877
2019-01-03 04 A,1749.1783694517928
2019-01-03 05 A,1971.8921676699028
2019-01-03 06 A,2153.9154275882665
2019-01-03 07 A,2406.343912281499
2019-01-03 08 A,2947.5726249507916
2019-01-03 09 A,3037.65563736872
2019-01-03 10 A,2804.5935904466774
2019-01-03 11 A,2789.8762121151035
2019-01-03 12 A,2394.279205024468
2019-01-03 13 A,2199.515528192053
2019-01-03 14 A,2051.4603317944307
2019-01-03 15 A,1990.214092233481
2019-01-03 16 A,1941.3894733662837
2019-01-03 17 A,1963.803595100635
2019-01-03 18 A,2236.880721407645
2019-01-03 19 A,2591.789490956756
2019-01-03 20 A,2617.9893925366196
2019-01-03 21 A,2580.2639439551167
2019-01-03 22 A,2553.2403335022846
2019-01-03 23 A,2368.638610902641
2019-01-03 24 A,2175.6032737822784
2019-01-04 01 A,2068.2497311082548
2019-01-04 02 A,1796.411662823023
2019-01-04 03 A,1598.2321550429388
2019-01-04 04 A,1595.8592315630692
2019-01-04 05 A,1829.970956882273
2019-01-04 06 A,1974.4950287815225
2019-01-04 07 A,2205.327621840837
2019-01-04 08 A,2781.88601290077
2019-01-04 09 A,2865.0004310102245
2019-01-04 10 A,2936.3794398607893
2019-01-04 11 A,2796.2522856972587
2019-01-04 12 A,2591.9011259539325
2019-01-04 13 A,2210.849667734879
2019-01-04 14 A,2226.372400441462
2019-01-04 15 A,2014.459919532742
2019-01-04 16 A,1948.4355686060508
2019-01-04 17 A,2082.5011349057554
2019-01-04 18 A,2325.1472293952247
2019-01-04 19 A,2595.3022907890713
2019-01-04 20 A,2606.371471041461
2019-01-04 21 A,2632.6799202926272
2019-01-04 22 A,2496.900688060308
2019-01-04 23 A,2350.8061630154784
2019-01-04 24 A,2196.626618737397
2019-01-05 01 A,2118.7180047786615
2019-01-05 02 A,1869.6142379478486
2019-01-05 03 A,1599.3649884960535
2019-01-05 04 A,1657.1624863423738
2019-01-05 05 A,1828.3703341642893
2019-01-05 06 A,1939.1367461413827
2019-01-05 07 A,2010.469305656318
2019-01-05 08 A,2427.783948791451
2019-01-05 09 A,2639.917437818484
2019-01-05 10 A,2720.928839956569
2019-01-05 11 A,2535.4525207844085
2019-01-05 12 A,2286.308637315696
2019-01-05 13 A,2105.437525664343
2019-01-05 14 A,1989.0250344917815
2019-01-05 15 A,1866.3156118094976
2019-01-05 16 A,1868.8771643402404
2019-01-05 17 A,1843.1263926825206
2019-01-05 18 A,2127.4070132489255
2019-01-05 19 A,2475.8503303679067
2019-01-05 20 A,2513.9276571208366
2019-01-05 21 A,2410.609612140334
2019-01-05 22 A,2317.8700238131846
2019-01-05 23 A,2203.786343218129
2019-01-05 24 A,2068.1761965499386
2019-01-06 01 A,1883.621050517441
2019-01-06 02 A,1650.4065293237588
2019-01-06 03 A,1545.8611704322038
