일자|시간|구분,공급량
2019-01-01 01 A,1942.1665166563382
2019-01-01 02 A,1855.4136899700904
2019-01-01 03 A,1728.4517394981083
2019-01-01 04 A,1775.8236536009572
2019-01-01 05 A,1826.2179419795084
2019-01-01 06 A,1987.7516183235011
2019-01-01 07 A,2419.403313018327
2019-01-01 08 A,2906.006716584919
2019-01-01 09 A,3030.231458815762
2019-01-01 10 A,2744.3919722631435
2019-01-01 11 A,2757.2652746578583
2019-01-01 12 A,2613.3080900571936
2019-01-01 13 A,2404.199735116484
2019-01-01 14 A,2254.852760840542
2019-01-01 15 A,2152.388010827321
2019-01-01 16 A,1932.1063142821297
2019-01-01 17 A,2067.0254310333034
2019-01-01 18 A,2334.146126555766
2019-01-01 19 A,2810.3410848953718
2019-01-01 20 A,2726.492770979596
2019-01-01 21 A,2671.8468686565952
2019-01-01 22 A,2586.8951207915575
2019-01-01 23 A,2409.268473523003
2019-01-01 24 A,2247.7753806424003
2019-01-02 01 A,1968.4543781441414
2019-01-02 02 A,1709.7862922850084
2019-01-02 03 A,1586.3369955539135
2019-01-02 04 A,1614.958384122323
2019-01-02 05 A,1800.585085990476
2019-01-02 06 A,1993.039446424098
2019-01-02 07 A,2235.8053566545495
2019-01-02 08 A,2754.5493822568933
2019-01-02 09 A,2911.63905986437
2019-01-02 10 A,2804.9373275290654
2019-01-02 11 A,2786.4845652314375
2019-01-02 12 A,2515.344524143357
2019-01-02 13 A,2386.2000112769924
2019-01-02 14 A,2251.6875219950675
2019-01-02 15 A,2100.293260011031
2019-01-02 16 A,2005.7219665405366
2019-01-02 17 A,2124.9946258384093
2019-01-02 18 A,2329.7365277716776
2019-01-02 19 A,2659.2560844574996
2019-01-02 20 A,2742.827258842199
2019-01-02 21 A,2665.649116667697
2019-01-02 22 A,2577.5426756828965
2019-01-02 23 A,2505.065315544165
2019-01-02 24 A,2344.3004138233696
2019-01-03 01 A,1995.0702982811133
2019-01-03 02 A,1883.2554424728687
2019-01-03 03 A,1790.8340643025283
2019-01-03 04 A,1760.2767076835632
2019-01-03 05 A,1984.0491498284089
2019-01-03 06 A,2151.1904537108157
2019-01-03 07 A,2410.2210390213436
2019-01-03 08 A,2877.2214074797544
2019-01-03 09 A,3022.23024744827
2019-01-03 10 A,2801.4295647846434
2019-01-03 11 A,2786.0393051675915
2019-01-03 12 A,2408.243978987983
2019-01-03 13 A,2213.9063568827455
2019-01-03 14 A,2059.9302876149304
2019-01-03 15 A,1984.6978549487028
2019-01-03 16 A,1939.8766830434513
2019-01-03 17 A,1983.2647230411014
2019-01-03 18 A,2227.7797699021176
2019-01-03 19 A,2588.9032159462313
2019-01-03 20 A,2618.2545935483154
2019-01-03 21 A,2560.051338116847
2019-01-03 22 A,2549.239519304422
2019-01-03 23 A,2381.176923755484
2019-01-03 24 A,2149.9506959409823
2019-01-04 01 A,2042.9290240276193
2019-01-04 02 A,1777.2137854893515
2019-01-04 03 A,1572.676608212155
2019-01-04 04 A,1621.2188270257639
2019-01-04 05 A,1815.2044454554014
2019-01-04 06 A,1962.1585621685801
2019-01-04 07 A,2217.223933863354
2019-01-04 08 A,2749.860718365475
2019-01-04 09 A,2823.1295445215214
2019-01-04 10 A,2909.4057781631423
2019-01-04 11 A,2798.223825887333
2019-01-04 12 A,2583.6298126231086
2019-01-04 13 A,2199.568344045531
2019-01-04 14 A,2252.8040273873607
2019-01-04 15 A,2010.1405823120497
2019-01-04 16 A,1930.3490567745405
2019-01-04 17 A,2091.8051380730426
2019-01-04 18 A,2323.3248771455587
2019-01-04 19 A,2582.132650833502
2019-01-04 20 A,2603.599343926559
2019-01-04 21 A,2629.2425123449534
2019-01-04 22 A,2479.613829030036
2019-01-04 23 A,2368.2991221753527
2019-01-04 24 A,2200.1348316661206
2019-01-05 01 A,2132.766355526697
2019-01-05 02 A,1865.8043705186835
2019-01-05 03 A,1615.491371566218
2019-01-05 04 A,1694.4131844711162
2019-01-05 05 A,1833.7321841180183
2019-01-05 06 A,1933.5438253348946
2019-01-05 07 A,2043.0325628513049
2019-01-05 08 A,2427.378415653911
2019-01-05 09 A,2647.239930299424
2019-01-05 10 A,2711.4900323969687
2019-01-05 11 A,2565.5644059967
2019-01-05 12 A,2311.064534094574
2019-01-05 13 A,2082.6162377580313
2019-01-05 14 A,1992.6359476845466
2019-01-05 15 A,1891.4517807616066
2019-01-05 16 A,1917.1268109258401
2019-01-05 17 A,1859.0410324017591
2019-01-05 18 A,2128.6742282911778
2019-01-05 19 A,2476.093987449316
2019-01-05 20 A,2512.089129777197
2019-01-05 21 A,2412.2114870287473
2019-01-05 22 A,2324.1324247695306
2019-01-05 23 A,2223.0142026419403
2019-01-05 24 A,2041.315755789842
2019-01-06 01 A,1892.5568680947447
2019-01-06 02 A,1618.3528487754481
2019-01-06 03 A,1542.9292860241876
2019-01-06 04 A,1559.1297560132898
2019-01-06 05 A,1649.1196300292522
2019-01-06 06 A,1904.617636573634
2019-01-06 07 A,1847.4630430554
2019-01-06 08 A,2093.68993021266
2019-01-06 09 A,2397.045514838048
2019-01-06 10 A,2610.099890676118
2019-01-06 11 A,2369.033555664589
2019-01-06 12 A,2175.202768170199
2019-01-06 13 A,2046.3828250130816
2019-01-06 14 A,1936.1224039395536
2019-01-06 15 A,1896.0244440588967
2019-01-06 16 A,1912.8575037013181
2019-01-06 17 A,1902.720257152462
2019-01-06 18 A,2208.0691980387605
2019-01-06 19 A,2511.097775384163
2019-01-06 20 A,2394.575339564861
2019-01-06 21 A,2294.624420978571
2019-01-06 22 A,2363.251779380677
2019-01-06 23 A,2233.463502693045
2019-01-06 24 A,2057.888993751518
2019-01-07 01 A,1806.7782971897093
2019-01-07 02 A,1577.297728598857
2019-01-07 03 A,1515.863216637993
2019-01-07 04 A,1550.818468035808
2019-01-07 05 A,1854.643072301257
2019-01-07 06 A,2045.726120974646
2019-01-07 07 A,2356.739756574083
2019-01-07 08 A,2706.5374716786737
2019-01-07 09 A,2807.9129747160773
2019-01-07 10 A,2773.6158859236943
2019-01-07 11 A,2730.755779764686
2019-01-07 12 A,2451.848017805684
2019-01-07 13 A,2293.3740783770354
2019-01-07 14 A,2171.216178165528
2019-01-07 15 A,2026.6826183645524
2019-01-07 16 A,1977.8717869665995
2019-01-07 17 A,1988.420530509334
2019-01-07 18 A,2247.0103734240497
2019-01-07 19 A,2621.459496873286
2019-01-07 20 A,2697.9169992368547
2019-01-07 21 A,2653.9627148209324
2019-01-07 22 A,2611.6372157041174
2019-01-07 23 A,2529.0015717864608
2019-01-07 24 A,2249.684285940609
2019-01-08 01 A,1942.1665166563382
2019-01-08 02 A,1855.4136899700904
2019-01-08 03 A,1728.4517394981083
2019-01-08 04 A,1775.8236536009572
2019-01-08 05 A,1826.2179419795084
2019-01-08 06 A,1987.7516183235011
2019-01-08 07 A,2419.403313018327
2019-01-08 08 A,2906.006716584919
2019-01-08 09 A,3030.231458815762
2019-01-08 10 A,2744.3919722631435
2019-01-08 11 A,2757.2652746578583
2019-01-08 12 A,2613.3080900571936
2019-01-08 13 A,2404.199735116484
2019-01-08 14 A,2254.852760840542
2019-01-08 15 A,2152.388010827321
2019-01-08 16 A,1932.1063142821297
2019-01-08 17 A,2067.0254310333034
2019-01-08 18 A,2334.146126555766
2019-01-08 19 A,2810.3410848953718
2019-01-08 20 A,2726.492770979596
2019-01-08 21 A,2671.8468686565952
2019-01-08 22 A,2586.8951207915575
2019-01-08 23 A,2409.268473523003
2019-01-08 24 A,2247.7753806424003
2019-01-09 01 A,1968.4543781441414
2019-01-09 02 A,1709.7862922850084
2019-01-09 03 A,1586.3369955539135
2019-01-09 04 A,1614.958384122323
2019-01-09 05 A,1800.585085990476
2019-01-09 06 A,1993.039446424098
2019-01-09 07 A,2235.8053566545495
2019-01-09 08 A,2754.5493822568933
2019-01-09 09 A,2911.63905986437
2019-01-09 10 A,2804.9373275290654
2019-01-09 11 A,2786.4845652314375
2019-01-09 12 A,2515.344524143357
2019-01-09 13 A,2386.2000112769924
2019-01-09 14 A,2251.6875219950675
2019-01-09 15 A,2100.293260011031
2019-01-09 16 A,2005.7219665405366
2019-01-09 17 A,2124.9946258384093
2019-01-09 18 A,2329.7365277716776
2019-01-09 19 A,2659.2560844574996
2019-01-09 20 A,2742.827258842199
2019-01-09 21 A,2665.649116667697
2019-01-09 22 A,2577.5426756828965
2019-01-09 23 A,2505.065315544165
2019-01-09 24 A,2344.3004138233696
2019-01-10 01 A,1995.0702982811133
2019-01-10 02 A,1883.2554424728687
2019-01-10 03 A,1790.8340643025283
2019-01-10 04 A,1760.2767076835632
2019-01-10 05 A,1984.0491498284089
2019-01-10 06 A,2151.1904537108157
2019-01-10 07 A,2410.2210390213436
2019-01-10 08 A,2877.2214074797544
2019-01-10 09 A,3022.23024744827
2019-01-10 10 A,2801.4295647846434
2019-01-10 11 A,2786.0393051675915
2019-01-10 12 A,2408.243978987983
2019-01-10 13 A,2213.9063568827455
2019-01-10 14 A,2059.9302876149304
2019-01-10 15 A,1984.6978549487028
2019-01-10 16 A,1939.8766830434513
2019-01-10 17 A,1983.2647230411014
2019-01-10 18 A,2227.7797699021176
2019-01-10 19 A,2588.9032159462313
2019-01-10 20 A,2618.2545935483154
2019-01-10 21 A,2560.051338116847
2019-01-10 22 A,2549.239519304422
2019-01-10 23 A,2381.176923755484
2019-01-10 24 A,2149.9506959409823
2019-01-11 01 A,2042.9290240276193
2019-01-11 02 A,1777.2137854893515
2019-01-11 03 A,1572.676608212155
2019-01-11 04 A,1621.2188270257639
2019-01-11 05 A,1815.2044454554014
2019-01-11 06 A,1962.1585621685801
2019-01-11 07 A,2217.223933863354
2019-01-11 08 A,2749.860718365475
2019-01-11 09 A,2823.1295445215214
2019-01-11 10 A,2909.4057781631423
2019-01-11 11 A,2798.223825887333
