일자|시간|구분,공급량
2019-01-01 01 A,1967.3087721790623
2019-01-01 02 A,1840.665946822529
2019-01-01 03 A,1761.9598208950847
2019-01-01 04 A,1789.4777494617872
2019-01-01 05 A,1901.2982891502186
2019-01-01 06 A,1983.1781105897915
2019-01-01 07 A,2405.2827665691148
2019-01-01 08 A,2888.571763100083
2019-01-01 09 A,3027.3105386160046
2019-01-01 10 A,2729.5087710781827
2019-01-01 11 A,2746.444425488025
2019-01-01 12 A,2610.757748698883
2019-01-01 13 A,2378.2263841598106
2019-01-01 14 A,2228.7479199283803
2019-01-01 15 A,2146.508826359534
2019-01-01 16 A,1952.4123642601342
2019-01-01 17 A,2066.5745828600884
2019-01-01 18 A,2333.477394191544
2019-01-01 19 A,2787.622344709073
2019-01-01 20 A,2725.6483691022163
2019-01-01 21 A,2677.4455287299684
2019-01-01 22 A,2572.535009453728
2019-01-01 23 A,2376.4274368156402
2019-01-01 24 A,2253.6945394365807
2019-01-02 01 A,1976.8408603477283
2019-01-02 02 A,1730.0456368478679
2019-01-02 03 A,1592.0696280818447
2019-01-02 04 A,1611.145939906953
2019-01-02 05 A,1807.6800976009115
2019-01-02 06 A,2014.7116514792071
2019-01-02 07 A,2270.5749607376183
2019-01-02 08 A,2739.1929785505013
2019-01-02 09 A,2874.905703996099
2019-01-02 10 A,2797.2510602971156
2019-01-02 11 A,2761.3478998436062
2019-01-02 12 A,2498.060070615651
2019-01-02 13 A,2384.7976965340254
2019-01-02 14 A,2243.221936679312
2019-01-02 15 A,2102.288891041746
2019-01-02 16 A,2020.8558705120715
2019-01-02 17 A,2148.01979730074
2019-01-02 18 A,2351.703227306708
2019-01-02 19 A,2670.1231262862084
2019-01-02 20 A,2717.9942778013783
2019-01-02 21 A,2674.959177036293
2019-01-02 22 A,2623.109285221892
2019-01-02 23 A,2488.9007595825424
2019-01-02 24 A,2315.6162410953807
2019-01-03 01 A,2024.3688815523708
2019-01-03 02 A,1897.2625405398558
2019-01-03 03 A,1774.352623347879
2019-01-03 04 A,1784.7407567319326
2019-01-03 05 A,1964.5720914774895
2019-01-03 06 A,2148.1902847674405
2019-01-03 07 A,2413.9670391052664
2019-01-03 08 A,2895.4396241029012
2019-01-03 09 A,3014.2348739543354
2019-01-03 10 A,2769.6792951993134
2019-01-03 11 A,2827.1695514458866
2019-01-03 12 A,2378.862553380994
2019-01-03 13 A,2173.709415913088
2019-01-03 14 A,2068.121839711382
2019-01-03 15 A,2012.8203876146329
2019-01-03 16 A,1938.157202655004
2019-01-03 17 A,1979.8678830135877
2019-01-03 18 A,2246.2030759977733
2019-01-03 19 A,2578.111140818019
2019-01-03 20 A,2599.132231222669
2019-01-03 21 A,2558.172653701846
2019-01-03 22 A,2517.692368940834
2019-01-03 23 A,2352.9057439596068
2019-01-03 24 A,2188.0864068839123
2019-01-04 01 A,2059.136500750984
2019-01-04 02 A,1767.2112169743184
2019-01-04 03 A,1566.9255449952004
2019-01-04 04 A,1624.1242836098254
2019-01-04 05 A,1852.9028966253688
2019-01-04 06 A,2006.8564265743596
2019-01-04 07 A,2270.186635425885
2019-01-04 08 A,2739.543665570125
2019-01-04 09 A,2798.9460852285506
2019-01-04 10 A,2858.297300896506
2019-01-04 11 A,2789.14557449408
2019-01-04 12 A,2578.666943192004
2019-01-04 13 A,2162.1299349251344
2019-01-04 14 A,2247.6471548310888
2019-01-04 15 A,2033.2771608761861
2019-01-04 16 A,1970.0779449466252
2019-01-04 17 A,2120.1697877591464
2019-01-04 18 A,2347.4200852870213
2019-01-04 19 A,2619.866740932899
2019-01-04 20 A,2578.656746451194
2019-01-04 21 A,2675.000351599016
2019-01-04 22 A,2540.5747898321547
2019-01-04 23 A,2340.551147783145
2019-01-04 24 A,2207.0244743002363
2019-01-05 01 A,2122.771914992834
2019-01-05 02 A,1840.9212467123316
2019-01-05 03 A,1615.5204900329838
2019-01-05 04 A,1644.4844611360004
2019-01-05 05 A,1792.2227305697427
2019-01-05 06 A,1971.8705696747486
2019-01-05 07 A,2082.7381980361965
2019-01-05 08 A,2428.015863221051
2019-01-05 09 A,2681.5928051419473
2019-01-05 10 A,2745.913352875412
2019-01-05 11 A,2584.872228912039
2019-01-05 12 A,2292.08283460526
2019-01-05 13 A,2119.235219140484
2019-01-05 14 A,2030.531942180996
2019-01-05 15 A,1921.6394820220848
2019-01-05 16 A,1885.4421016801641
2019-01-05 17 A,1868.3053550081295
2019-01-05 18 A,2116.2054408065646
2019-01-05 19 A,2455.3695923685923
2019-01-05 20 A,2473.4356908947707
2019-01-05 21 A,2393.4059136429
2019-01-05 22 A,2358.4470214476964
2019-01-05 23 A,2212.9853151946204
2019-01-05 24 A,2066.7638967818034
2019-01-06 01 A,1861.7010768389662
2019-01-06 02 A,1623.9320843295816
2019-01-06 03 A,1535.3887654448633
2019-01-06 04 A,1543.659413002758
2019-01-06 05 A,1650.1051433904977
2019-01-06 06 A,1852.9201410038902
2019-01-06 07 A,1890.9290892774725
2019-01-06 08 A,2146.313898593553
2019-01-06 09 A,2400.2944762252773
2019-01-06 10 A,2511.86772865576
2019-01-06 11 A,2386.975333503809
2019-01-06 12 A,2179.822218747284
2019-01-06 13 A,2093.666146415167
2019-01-06 14 A,1944.9515312551239
2019-01-06 15 A,1883.3592153167456
2019-01-06 16 A,1863.3333717816288
2019-01-06 17 A,1910.1541668980165
2019-01-06 18 A,2191.6958950369585
2019-01-06 19 A,2524.7482134351217
2019-01-06 20 A,2398.974661716625
2019-01-06 21 A,2343.0266145250316
2019-01-06 22 A,2358.1256263415935
2019-01-06 23 A,2261.043386121851
2019-01-06 24 A,2061.366360877331
2019-01-07 01 A,1878.512763886213
2019-01-07 02 A,1653.8673008423732
2019-01-07 03 A,1592.5584737122263
2019-01-07 04 A,1589.7824783701326
2019-01-07 05 A,1855.6308191897854
2019-01-07 06 A,1994.6228091986416
2019-01-07 07 A,2327.8063459058885
2019-01-07 08 A,2694.596934525187
2019-01-07 09 A,2810.7781191114505
