,일자|시간|구분,공급량
0,2019-01-01 01 A,1957.9598445175056
1,2019-01-01 02 A,1720.0726666508294
2,2019-01-01 03 A,1595.9367561270192
3,2019-01-01 04 A,1626.4645051155308
4,2019-01-01 05 A,1825.0736591708096
5,2019-01-01 06 A,1975.654520300235
6,2019-01-01 07 A,2287.8423519144358
7,2019-01-01 08 A,2736.4433555771466
8,2019-01-01 09 A,2894.403430612817
9,2019-01-01 10 A,2800.7671514255194
10,2019-01-01 11 A,2672.5521615832595
11,2019-01-01 12 A,2562.709117925404
12,2019-01-01 13 A,2396.1336962788223
13,2019-01-01 14 A,2216.152423601703
14,2019-01-01 15 A,2084.0103481384376
15,2019-01-01 16 A,2019.3401390512413
16,2019-01-01 17 A,2057.8895185211195
17,2019-01-01 18 A,2344.4574767235185
18,2019-01-01 19 A,2564.161934287191
19,2019-01-01 20 A,2646.1621420729293
20,2019-01-01 21 A,2565.258942539178
21,2019-01-01 22 A,2382.51716836738
22,2019-01-01 23 A,2395.898847720281
23,2019-01-01 24 A,2352.8046661587764
24,2019-01-02 01 A,1949.9234054668093
25,2019-01-02 02 A,1750.9344166242306
26,2019-01-02 03 A,1640.4114359827524
27,2019-01-02 04 A,1640.95503513451
28,2019-01-02 05 A,1856.750059068684
29,2019-01-02 06 A,2008.7210138243013
30,2019-01-02 07 A,2305.3120083734166
31,2019-01-02 08 A,2718.2508073929584
32,2019-01-02 09 A,2916.9665398297147
33,2019-01-02 10 A,2746.2376485928908
34,2019-01-02 11 A,2677.9977362057098
35,2019-01-02 12 A,2490.3736203928484
36,2019-01-02 13 A,2330.4848294406656
37,2019-01-02 14 A,2156.665711845599
38,2019-01-02 15 A,2037.109998979252
39,2019-01-02 16 A,1914.2934336446087
40,2019-01-02 17 A,1970.465370503489
41,2019-01-02 18 A,2236.150281258097
42,2019-01-02 19 A,2584.6619254260427
43,2019-01-02 20 A,2699.707273173402
44,2019-01-02 21 A,2690.871437924484
45,2019-01-02 22 A,2440.7786937912506
46,2019-01-02 23 A,2448.4407305540844
47,2019-01-02 24 A,2277.2685352093813
48,2019-01-03 01 A,2079.0603268286022
49,2019-01-03 02 A,1758.0671900818345
50,2019-01-03 03 A,1642.069533007999
51,2019-01-03 04 A,1596.0866246948565
52,2019-01-03 05 A,1795.429233042581
53,2019-01-03 06 A,1943.6288473180389
54,2019-01-03 07 A,2234.88569526012
55,2019-01-03 08 A,2720.367184900405
56,2019-01-03 09 A,2929.162411529369
57,2019-01-03 10 A,2726.5276826494182
58,2019-01-03 11 A,2702.0032106838225
59,2019-01-03 12 A,2441.686369599985
60,2019-01-03 13 A,2267.039611019877
61,2019-01-03 14 A,2034.4511224823425
62,2019-01-03 15 A,1923.1147338165135
63,2019-01-03 16 A,1863.084905983823
64,2019-01-03 17 A,1973.5872320225103
65,2019-01-03 18 A,2273.4673760905957
66,2019-01-03 19 A,2669.6240755886456
67,2019-01-03 20 A,2744.084952084728
68,2019-01-03 21 A,2631.5218690460324
69,2019-01-03 22 A,2519.203716899248
70,2019-01-03 23 A,2383.4704970149887
71,2019-01-03 24 A,2255.3490921378207
72,2019-01-04 01 A,1912.7275722769004
73,2019-01-04 02 A,1655.8396015346575
74,2019-01-04 03 A,1523.340856276607
75,2019-01-04 04 A,1535.8862164450693
76,2019-01-04 05 A,1716.919156777295
77,2019-01-04 06 A,1882.5984135213853
78,2019-01-04 07 A,2169.3629578544565
79,2019-01-04 08 A,2596.452524328497
80,2019-01-04 09 A,2757.6093424721976
81,2019-01-04 10 A,2683.244789403604
82,2019-01-04 11 A,2591.5460642726257
83,2019-01-04 12 A,2399.075637317543
84,2019-01-04 13 A,2223.9110911260886
85,2019-01-04 14 A,2041.4866983720103
86,2019-01-04 15 A,1920.1770393440408
87,2019-01-04 16 A,1871.4090997467465
88,2019-01-04 17 A,1972.049629392617
89,2019-01-04 18 A,2181.0154920201903
90,2019-01-04 19 A,2487.598061417976
91,2019-01-04 20 A,2522.49585892871
92,2019-01-04 21 A,2522.953524904306
93,2019-01-04 22 A,2420.185178627794
94,2019-01-04 23 A,2344.496439942984
95,2019-01-04 24 A,2213.548519228498
96,2019-01-05 01 A,2079.948127763608
97,2019-01-05 02 A,1823.9314010776009
98,2019-01-05 03 A,1664.0087731002932
99,2019-01-05 04 A,1623.760711803999
100,2019-01-05 05 A,1769.4530668019888
101,2019-01-05 06 A,1835.743420330154
102,2019-01-05 07 A,1910.7309783130377
103,2019-01-05 08 A,2242.9001359458257
104,2019-01-05 09 A,2505.785450763356
105,2019-01-05 10 A,2570.044081433003
106,2019-01-05 11 A,2497.7211532405354
107,2019-01-05 12 A,2261.1416217224923
108,2019-01-05 13 A,2122.6430669677784
109,2019-01-05 14 A,1954.844838812568
110,2019-01-05 15 A,1840.3002802415815
111,2019-01-05 16 A,1783.0006919175971
112,2019-01-05 17 A,1879.8368629700533
113,2019-01-05 18 A,2054.0774702312374
114,2019-01-05 19 A,2384.950732932295
115,2019-01-05 20 A,2392.633486471639
116,2019-01-05 21 A,2371.656182042649
117,2019-01-05 22 A,2129.4668853302446
118,2019-01-05 23 A,2010.7237923885612
119,2019-01-05 24 A,2004.5580690373852
120,2019-01-06 01 A,1930.266660377064
121,2019-01-06 02 A,1720.485117899836
122,2019-01-06 03 A,1594.7998973639938
123,2019-01-06 04 A,1600.062196182427
124,2019-01-06 05 A,1744.260837921593
125,2019-01-06 06 A,1815.969228294677
126,2019-01-06 07 A,1865.5366811458057
127,2019-01-06 08 A,2164.700517263179
128,2019-01-06 09 A,2410.7236780463754
129,2019-01-06 10 A,2478.533767417576
130,2019-01-06 11 A,2433.704860149335
131,2019-01-06 12 A,2202.80726163052
132,2019-01-06 13 A,2078.135182029962
133,2019-01-06 14 A,1886.149138449921
134,2019-01-06 15 A,1803.6705889130403
135,2019-01-06 16 A,1758.7817400375152
136,2019-01-06 17 A,1866.7692920582929
137,2019-01-06 18 A,2150.332509599577
138,2019-01-06 19 A,2468.6719815759434
139,2019-01-06 20 A,2525.759606241587
140,2019-01-06 21 A,2511.729790375063
141,2019-01-06 22 A,2354.645909008148
142,2019-01-06 23 A,2272.0442969731885
143,2019-01-06 24 A,2154.6110368762197
144,2019-01-07 01 A,1846.6204318993832
145,2019-01-07 02 A,1663.9474467699647
146,2019-01-07 03 A,1582.5586769789006
147,2019-01-07 04 A,1581.905760736477
148,2019-01-07 05 A,1811.7289678378647
149,2019-01-07 06 A,1995.0729485239767
150,2019-01-07 07 A,2325.965713830936
151,2019-01-07 08 A,2770.0863316643035
152,2019-01-07 09 A,2901.066332164298
153,2019-01-07 10 A,2799.2107859438747
154,2019-01-07 11 A,2678.5245466881297
155,2019-01-07 12 A,2480.820725069345
156,2019-01-07 13 A,2333.02061437988
157,2019-01-07 14 A,2189.282770021492
158,2019-01-07 15 A,2025.2053321618912
159,2019-01-07 16 A,1920.0582603528944
160,2019-01-07 17 A,1997.1208037794977
161,2019-01-07 18 A,2281.9588589684918
162,2019-01-07 19 A,2530.8688608905823
163,2019-01-07 20 A,2626.275876470388
164,2019-01-07 21 A,2557.967795667347
165,2019-01-07 22 A,2457.8633107450423
166,2019-01-07 23 A,2385.393150751901
167,2019-01-07 24 A,2251.154989832675
168,2019-01-08 01 A,1885.6673770259997
169,2019-01-08 02 A,1675.8991994474582
170,2019-01-08 03 A,1556.9431225509372
171,2019-01-08 04 A,1559.035700607835
172,2019-01-08 05 A,1740.4416554331858
173,2019-01-08 06 A,1912.1680289207009
174,2019-01-08 07 A,2221.0266902452267
175,2019-01-08 08 A,2677.1719981681945
176,2019-01-08 09 A,2814.488567938082
177,2019-01-08 10 A,2733.778219009075
178,2019-01-08 11 A,2642.0693885116766
179,2019-01-08 12 A,2442.7159773191142
180,2019-01-08 13 A,2318.8121350938877
181,2019-01-08 14 A,2163.781296493071
182,2019-01-08 15 A,2039.3591448001384
183,2019-01-08 16 A,1978.1372649228324
184,2019-01-08 17 A,2028.5969294142144
185,2019-01-08 18 A,2277.990962333071
186,2019-01-08 19 A,2589.058212529688
187,2019-01-08 20 A,2689.402978701067
188,2019-01-08 21 A,2647.788067740087
189,2019-01-08 22 A,2538.111701057437
190,2019-01-08 23 A,2444.1543055896745
191,2019-01-08 24 A,2316.730011954121
192,2019-01-09 01 A,2002.0316492759912
193,2019-01-09 02 A,1771.7675419081188
194,2019-01-09 03 A,1652.6648191371355
195,2019-01-09 04 A,1675.4573853797272
196,2019-01-09 05 A,1916.3197603723684
197,2019-01-09 06 A,2110.0385859801813
198,2019-01-09 07 A,2410.550176724085
199,2019-01-09 08 A,2918.520407501601
200,2019-01-09 09 A,2996.447009032304
201,2019-01-09 10 A,2828.823199301137
202,2019-01-09 11 A,2788.6949887707856
203,2019-01-09 12 A,2616.586950450412
204,2019-01-09 13 A,2456.754638066252
205,2019-01-09 14 A,2233.498860029221
206,2019-01-09 15 A,2110.199962754425
207,2019-01-09 16 A,2051.229407487991
208,2019-01-09 17 A,2167.5079928282285
209,2019-01-09 18 A,2403.150807015527
210,2019-01-09 19 A,2728.2764476955927
211,2019-01-09 20 A,2766.619479039194
212,2019-01-09 21 A,2704.2287706914603
213,2019-01-09 22 A,2585.106256596243
214,2019-01-09 23 A,2507.538541798181
215,2019-01-09 24 A,2371.8394050321644
216,2019-01-10 01 A,1968.561004922064
217,2019-01-10 02 A,1708.1256826635197
218,2019-01-10 03 A,1606.9862722985597
219,2019-01-10 04 A,1603.0075828617337
220,2019-01-10 05 A,1803.5000423127624
221,2019-01-10 06 A,1987.850512951405
222,2019-01-10 07 A,2275.858207437587
223,2019-01-10 08 A,2787.299824001595
224,2019-01-10 09 A,2863.7504002731894
225,2019-01-10 10 A,2826.319750888242
226,2019-01-10 11 A,2806.629216150772
227,2019-01-10 12 A,2599.500451858777
228,2019-01-10 13 A,2446.379729202692
229,2019-01-10 14 A,2238.4444209984767
230,2019-01-10 15 A,2117.3572156040877
231,2019-01-10 16 A,2019.3636358894528
232,2019-01-10 17 A,2124.126835010443
233,2019-01-10 18 A,2376.065829175779
234,2019-01-10 19 A,2716.990861101702
235,2019-01-10 20 A,2782.381217274665
236,2019-01-10 21 A,2702.1953076823397
237,2019-01-10 22 A,2582.058450280889
238,2019-01-10 23 A,2461.211146192749
239,2019-01-10 24 A,2349.6149569713884
240,2019-01-11 01 A,1996.0323905658172
241,2019-01-11 02 A,1813.89077800386
242,2019-01-11 03 A,1709.5961095493055
243,2019-01-11 04 A,1731.8629767419548
244,2019-01-11 05 A,1949.073591084624
245,2019-01-11 06 A,2161.386047153128
246,2019-01-11 07 A,2464.6468624945965
247,2019-01-11 08 A,2960.274085617228
248,2019-01-11 09 A,3104.7088170094603
249,2019-01-11 10 A,2806.674109950807
250,2019-01-11 11 A,2713.544798841789
251,2019-01-11 12 A,2644.603362727696
252,2019-01-11 13 A,2501.159661471408
253,2019-01-11 14 A,2342.948378525495
254,2019-01-11 15 A,2220.5689530651266
255,2019-01-11 16 A,2155.4833473832537
256,2019-01-11 17 A,2234.3933888804377
257,2019-01-11 18 A,2438.4884892074
258,2019-01-11 19 A,2716.464640048918
259,2019-01-11 20 A,2736.468846003443
260,2019-01-11 21 A,2615.7693162484256
261,2019-01-11 22 A,2495.420181369078
262,2019-01-11 23 A,2344.9718351584165
263,2019-01-11 24 A,2176.0696561786986
264,2019-01-12 01 A,2144.643777245008
265,2019-01-12 02 A,1863.62390553396
266,2019-01-12 03 A,1745.9617485244662
267,2019-01-12 04 A,1736.3813027355816
268,2019-01-12 05 A,1919.0653220629083
269,2019-01-12 06 A,2027.9748628272189
270,2019-01-12 07 A,2112.6611044301967
271,2019-01-12 08 A,2471.8090876236147
272,2019-01-12 09 A,2668.2504548925654
273,2019-01-12 10 A,2732.2407913013394
274,2019-01-12 11 A,2702.966465805011
275,2019-01-12 12 A,2534.463243713498
276,2019-01-12 13 A,2335.460162666909
277,2019-01-12 14 A,2169.3524521039662
278,2019-01-12 15 A,2063.025610011144
279,2019-01-12 16 A,1946.102252499873
280,2019-01-12 17 A,2100.312281640295
