일자|시간|구분,공급량
2019-01-01 01 D,1129.4243123725755
2019-01-01 02 D,1003.0836927028668
2019-01-01 03 D,911.2819987905963
2019-01-01 04 D,1013.1951441651449
2019-01-01 05 D,1106.328109153566
2019-01-01 06 D,1134.9678708923525
2019-01-01 07 D,1310.1634534088432
2019-01-01 08 D,1528.3629162672255
2019-01-01 09 D,1532.1768855294426
2019-01-01 10 D,1488.114559126132
2019-01-01 11 D,1489.2615111949722
2019-01-01 12 D,1327.3148245991038
2019-01-01 13 D,1200.3148648810638
2019-01-01 14 D,1137.9812674208251
2019-01-01 15 D,1109.9489479239712
2019-01-01 16 D,1106.2066900068178
2019-01-01 17 D,1140.550566040838
2019-01-01 18 D,1352.724850079217
2019-01-01 19 D,1542.22672382099
2019-01-01 20 D,1607.8206817574837
2019-01-01 21 D,1578.8704478985674
2019-01-01 22 D,1482.1776331768249
2019-01-01 23 D,1398.3730996374409
2019-01-01 24 D,1369.9397076313976
2019-01-02 01 D,1179.5641045374277
2019-01-02 02 D,1034.4979608969086
2019-01-02 03 D,962.3442447860218
2019-01-02 04 D,1058.1353489662038
2019-01-02 05 D,1165.5933341053358
2019-01-02 06 D,1184.7373917559194
2019-01-02 07 D,1347.8600059506807
2019-01-02 08 D,1606.8565932094266
2019-01-02 09 D,1608.5281955431465
2019-01-02 10 D,1521.9624522273984
2019-01-02 11 D,1510.1345508981751
2019-01-02 12 D,1327.6864344651813
2019-01-02 13 D,1184.6086141428189
2019-01-02 14 D,1134.997242571642
2019-01-02 15 D,1105.114589615385
2019-01-02 16 D,1071.444309284551
2019-01-02 17 D,1107.8704381214186
2019-01-02 18 D,1325.430004554766
2019-01-02 19 D,1576.8633439811756
2019-01-02 20 D,1637.6631254794183
2019-01-02 21 D,1642.3573502561676
2019-01-02 22 D,1487.2070662518308
2019-01-02 23 D,1455.5465966485326
2019-01-02 24 D,1356.820299657028
2019-01-03 01 D,1207.5821449840637
2019-01-03 02 D,1033.4568704511094
2019-01-03 03 D,946.0790419402596
2019-01-03 04 D,995.6106114669917
2019-01-03 05 D,1101.9434147669172
2019-01-03 06 D,1151.3517172271613
2019-01-03 07 D,1299.9469590388517
2019-01-03 08 D,1543.04153662591
2019-01-03 09 D,1558.8667666285137
2019-01-03 10 D,1510.3392177871237
2019-01-03 11 D,1501.156190086941
2019-01-03 12 D,1280.0617612121746
2019-01-03 13 D,1154.5277715099983
2019-01-03 14 D,1060.9504232028626
2019-01-03 15 D,1035.877780819879
2019-01-03 16 D,1033.7501323604056
2019-01-03 17 D,1094.50555350962
2019-01-03 18 D,1338.944954816517
2019-01-03 19 D,1622.010979073627
2019-01-03 20 D,1665.1337078969887
2019-01-03 21 D,1651.056290006615
2019-01-03 22 D,1547.505552877193
2019-01-03 23 D,1406.5892789554605
2019-01-03 24 D,1327.7231337962776
2019-01-04 01 D,1150.9110205319057
2019-01-04 02 D,994.4647054802858
2019-01-04 03 D,915.979429540342
2019-01-04 04 D,998.6789500121905
2019-01-04 05 D,1092.587371716943
2019-01-04 06 D,1121.6222315687326
2019-01-04 07 D,1294.2534241591188
2019-01-04 08 D,1503.7631774769206
2019-01-04 09 D,1535.7630819205524
2019-01-04 10 D,1529.235059010639
2019-01-04 11 D,1466.1777640362427
2019-01-04 12 D,1293.314819840415
2019-01-04 13 D,1131.9723166909569
2019-01-04 14 D,1039.0730546041036
2019-01-04 15 D,1010.9459926795041
2019-01-04 16 D,1021.729602235107
2019-01-04 17 D,1095.54475734644
2019-01-04 18 D,1295.8860087727674
2019-01-04 19 D,1518.4155212156738
2019-01-04 20 D,1537.0085650115102
2019-01-04 21 D,1563.7261087124702
2019-01-04 22 D,1463.725288892742
2019-01-04 23 D,1423.521310055743
2019-01-04 24 D,1319.2522028044764
2019-01-05 01 D,1246.3750836493941
2019-01-05 02 D,1080.6290462137931
2019-01-05 03 D,988.4632894843755
2019-01-05 04 D,1045.2000759745747
2019-01-05 05 D,1112.7534658016332
2019-01-05 06 D,1116.7336310022017
2019-01-05 07 D,1187.7245588184578
2019-01-05 08 D,1404.9464251565419
2019-01-05 09 D,1518.5596137034556
2019-01-05 10 D,1535.6735788427272
2019-01-05 11 D,1494.2863968529502
2019-01-05 12 D,1329.5262081999563
2019-01-05 13 D,1178.4723497206692
2019-01-05 14 D,1096.5995549878678
2019-01-05 15 D,1075.8232736270809
2019-01-05 16 D,1074.3357995205083
2019-01-05 17 D,1116.175599433404
2019-01-05 18 D,1339.7551084590239
2019-01-05 19 D,1512.5576775800682
2019-01-05 20 D,1517.7457542248821
2019-01-05 21 D,1496.4741655491134
2019-01-05 22 D,1337.2618865598097
2019-01-05 23 D,1254.5926939711296
2019-01-05 24 D,1237.601799567556
2019-01-06 01 D,1164.7940103158076
2019-01-06 02 D,1020.8918049125145
2019-01-06 03 D,944.5499210350827
2019-01-06 04 D,1011.4825107552238
2019-01-06 05 D,1081.789419340173
2019-01-06 06 D,1087.4053796346916
2019-01-06 07 D,1163.2328885203458
2019-01-06 08 D,1356.8815769349737
2019-01-06 09 D,1447.8037391578855
2019-01-06 10 D,1499.3545026807215
2019-01-06 11 D,1505.050558446903
